candidate_id,catalog_f444w_fluxerr_njy,catalog_f444w_magerr,catalog_flux_ratio,classification,dec_deg,input_f444w_flux_njy,input_f444w_mag_ab,n_hst_inventory_rows,n_jwst_inventory_rows,n_pair_attempts,pair_status,pm_status,ra_deg,reason,filter_early,filter_late,inventory_baseline_days,inventory_early_mjd,inventory_late_mjd,n_astrometric_early,n_astrometric_late,n_covering_early,n_covering_late,pair_filter_cost,pair_type,selected_pair_rank
22618,4.81714637131851,0.0052920371265493,169.365755657584,INSUFFICIENT_DATA,1.79360099256028,988.305655060676,23.912771799014,20,5,0,NO_INDEPENDENT_JWST_EPOCH_PAIR,INSUFFICIENT_DATA,150.280235166175,NO_INDEPENDENT_JWST_EPOCH_PAIR,,,,,,,,,,,,
66425,2.7594789586417,0.0216114121612625,34.4442265470124,INSUFFICIENT_DATA,1.84396638701966,138.633523312088,26.0453293480291,21,4,0,NO_INDEPENDENT_JWST_EPOCH_PAIR,INSUFFICIENT_DATA,150.208516935387,NO_INDEPENDENT_JWST_EPOCH_PAIR,,,,,,,,,,,,
76569,4.73919722801105,0.0069714853579493,130.8559984756,INSUFFICIENT_DATA,1.85274879069061,738.080587958735,24.2297405419362,31,15,8,PAIR_FOUND,INSUFFICIENT_DATA,150.24599898078,all 8 ranked NIRCam pairs exhausted; best failure: target is not securely centroidable in both independent epochs,F444W,F360M,724.5872502604179,60048.192332332175,60772.77958259259,0.0,0.0,2.0,1.0,852.0,CROSS_FILTER_JWST,1.0
103869,5.55583368021344,0.0269851577663455,30.2658522431905,INSUFFICIENT_DATA,1.87428171161735,223.536576159852,25.526628513268,29,5,0,NO_INDEPENDENT_JWST_EPOCH_PAIR,INSUFFICIENT_DATA,150.30780338645,NO_INDEPENDENT_JWST_EPOCH_PAIR,,,,,,,,,,,,
148858,3.0715710949575,0.0206729095339118,33.0566509227207,INSUFFICIENT_DATA,1.90445582398867,161.31817042073,25.8807917803959,20,5,0,NO_INDEPENDENT_JWST_EPOCH_PAIR,INSUFFICIENT_DATA,149.883937847368,NO_INDEPENDENT_JWST_EPOCH_PAIR,,,,,,,,,,,,
149438,5.39393732493643,0.027716725686385,33.9688862923652,INSUFFICIENT_DATA,1.9043546546897,211.294548502764,25.5877792695049,11,5,0,NO_INDEPENDENT_JWST_EPOCH_PAIR,INSUFFICIENT_DATA,150.355663665834,NO_INDEPENDENT_JWST_EPOCH_PAIR,,,,,,,,,,,,
195921,4.41688306807173,0.0178713850381039,40.297681665775,INSUFFICIENT_DATA,1.93105794871385,268.33789596967,25.3282949745974,19,4,0,NO_INDEPENDENT_JWST_EPOCH_PAIR,INSUFFICIENT_DATA,150.342592477884,NO_INDEPENDENT_JWST_EPOCH_PAIR,,,,,,,,,,,,
199019,5.13811752063282,0.030038610329871,31.115282439682,INSUFFICIENT_DATA,1.93269025846942,185.715655790694,25.7278787094589,19,4,0,NO_INDEPENDENT_JWST_EPOCH_PAIR,INSUFFICIENT_DATA,150.344876735228,NO_INDEPENDENT_JWST_EPOCH_PAIR,,,,,,,,,,,,
204375,5.34150618692589,0.0007317068938965,1325.83747393624,INSUFFICIENT_DATA,1.93527014499884,7925.94234584973,21.6523727277368,35,8,0,NO_INDEPENDENT_JWST_EPOCH_PAIR,INSUFFICIENT_DATA,149.771209714765,NO_INDEPENDENT_JWST_EPOCH_PAIR,,,,,,,,,,,,
204376,5.21720018245069,0.0022457039014693,383.991585556273,INSUFFICIENT_DATA,1.93537583034205,2522.37310620121,22.8954766818185,35,8,0,NO_INDEPENDENT_JWST_EPOCH_PAIR,INSUFFICIENT_DATA,149.771211357623,NO_INDEPENDENT_JWST_EPOCH_PAIR,,,,,,,,,,,,
213953,5.36642485914403,0.0003993808384129,2216.14520567901,INSUFFICIENT_DATA,1.94000041364651,14588.8865946588,20.9899446291161,42,7,8,PAIR_FOUND,INSUFFICIENT_DATA,150.026819652774,all 8 ranked NIRCam pairs exhausted; best failure: target is not securely centroidable in both independent epochs,F444W,F356W,747.659716574075,60046.00409150463,60793.6638080787,0.0,0.0,2.0,3.0,908.0,CROSS_FILTER_JWST,1.0
278413,4.91924450717063,0.0190986067355109,44.3455017590631,INSUFFICIENT_DATA,1.97038650103515,279.654004894606,25.2834473920178,49,13,8,PAIR_FOUND,INSUFFICIENT_DATA,150.081710217363,all 8 ranked NIRCam pairs exhausted; best failure: target is not securely centroidable in both independent epochs,F444W,F410M,730.3825017592608,60041.011059756944,60771.393561516204,1.0,0.0,2.0,2.0,394.0,CROSS_FILTER_JWST,1.0
279128,4.60183207776772,0.0125708394067294,68.2699590384759,INSUFFICIENT_DATA,1.97070522881952,397.457602741713,24.9017729780681,49,13,8,PAIR_FOUND,INSUFFICIENT_DATA,150.081440855024,all 8 ranked NIRCam pairs exhausted; best failure: target is not securely centroidable in both independent epochs,F444W,F410M,730.3825017592608,60041.011059756944,60771.393561516204,0.0,0.0,2.0,2.0,394.0,CROSS_FILTER_JWST,1.0
330904,4.64499691695941,0.0146373574569453,61.4048140997526,INSUFFICIENT_DATA,1.99368672051341,344.545888051652,25.0568823219057,16,4,0,NO_INDEPENDENT_JWST_EPOCH_PAIR,INSUFFICIENT_DATA,150.397512077673,NO_INDEPENDENT_JWST_EPOCH_PAIR,,,,,,,,,,,,
373110,5.05507190025057,0.0243429843779141,37.1672730714465,INSUFFICIENT_DATA,2.01179813272945,225.464326581793,25.5173054082373,56,32,8,PAIR_FOUND,INSUFFICIENT_DATA,149.950606440986,all 8 ranked NIRCam pairs exhausted; best failure: target is not securely centroidable in both independent epochs,F444W,F410M,728.003998518514,60045.71818178241,60773.72218030092,0.0,0.0,2.0,4.0,394.0,CROSS_FILTER_JWST,1.0
419037,4.84853334370093,0.0027835757395801,299.371748088827,INSUFFICIENT_DATA,2.03159325149311,1891.17476358919,23.2081708402943,80,16,8,PAIR_FOUND,INSUFFICIENT_DATA,150.052355829799,all 8 ranked NIRCam pairs exhausted; best failure: target is not securely centroidable in both independent epochs,F444W,F410M,730.6163508333339,60043.52235795139,60774.138708784725,0.0,0.0,2.0,2.0,394.0,CROSS_FILTER_JWST,1.0
419038,4.96035725373867,0.0012774447195955,655.699362413142,INSUFFICIENT_DATA,2.03168144283005,4215.94717666056,22.3377620980398,78,16,8,PAIR_FOUND,INSUFFICIENT_DATA,150.052403972819,all 8 ranked NIRCam pairs exhausted; best failure: target is not securely centroidable in both independent epochs,F444W,F410M,730.6163508333339,60043.52235795139,60774.138708784725,0.0,0.0,2.0,2.0,394.0,CROSS_FILTER_JWST,1.0
