candidate_id,candidate_ra_deg,candidate_dec_deg,obs_collection,obsid,obs_id,instrument_name,filters,filter_norm,t_min,t_max,t_exptime,proposal_id,target_name,calib_level,dataRights,distance
149438,150.355663665834,1.9043546546897,JWST,127172351,jw01727-o150_t144_miri_f770w,MIRI/IMAGE,F770W,F770W,60048.30238149306,60048.344007025466,2020.232,1727,CWEBTILE-7-17,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,JWST,127174233,jw01727-o151_t151_nircam_clear-f115w,NIRCAM/IMAGE,F115W,F115W,60048.35625197917,60048.37389884259,1030.728,1727,CWEBTILE-6-18,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,JWST,127174188,jw01727-o151_t151_nircam_clear-f150w,NIRCAM/IMAGE,F150W,F150W,60048.380360104165,60048.39800696759,1030.728,1727,CWEBTILE-6-18,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,JWST,127174285,jw01727-o151_t151_nircam_clear-f277w,NIRCAM/IMAGE,F277W,F277W,60048.35625271991,60048.37389884259,1030.728,1727,CWEBTILE-6-18,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,JWST,127174141,jw01727-o151_t151_nircam_clear-f444w,NIRCAM/IMAGE,F444W,F444W,60048.380360104165,60048.39800696759,1030.728,1727,CWEBTILE-6-18,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,HST,60772708,hst_16259_af_wfc3_ir_f160w_iedwaf,WFC3/IR,F160W,F160W,59330.34408622,59330.37307881,1773.4912419999998,16259,COSMOS-F160W-30,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,HST,60772709,hst_16259_af_wfc3_ir_total_iedwaf,WFC3/IR,detection,,59330.34408622,59330.37307881,1773.4912419999998,16259,COSMOS-F160W-30,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,HST,26354251,hst_9822_2c_acs_wfc_f814w_j8pu2c,ACS/WFC,F814W,F814W,53083.32057511,53083.39140909,2028.0,9822,COSMOS19-13,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,HST,26354261,hst_9822_2c_acs_wfc_total_j8pu2c,ACS/WFC,detection,,53083.32057511,53083.39140909,2028.0,9822,COSMOS19-13,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,HST,207852073,hst_9822_2f_wfpc2_pc_f300w_u8pu2f,WFPC2/PC,F300W,F300W,53083.58698918,53083.61731326,1600.0,9822,ANY,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,HST,207849189,hst_9822_2f_wfpc2_pc_total_u8pu2f,WFPC2/PC,detection,,53083.58698918,53083.61731326,1600.0,9822,ANY,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,HST,207850308,hst_9822_2g_wfpc2_pc_f300w_u8pu2g,WFPC2/PC,F300W,F300W,53086.85296145,53086.88328553,1600.0,9822,ANY,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,HST,207846772,hst_9822_2g_wfpc2_pc_total_u8pu2g,WFPC2/PC,detection,,53086.85296145,53086.88328553,1600.0,9822,ANY,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,HST,83221951,hst_skycell-p1360x18y11_acs_wfc_f814w_all,ACS/WFC,F814W,F814W,52932.04894114,60050.46795224,75232.0,,342154,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,HST,60771481,iedwaf010,WFC3/IR,F160W,F160W,59330.3485306713,59330.373078819444,1520.556885,16259,COSMOS-F160W-30,3,PUBLIC,0.0
149438,150.355663665834,1.9043546546897,HST,24820521,j8pu2c010,ACS/WFC,F814W,F814W,53083.320575115744,53083.391396875,2028.0,9822,COSMOS19-13,3,PUBLIC,0.0
