obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
266453524,JWST,image,jw05893013001_05101_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893013001_05101_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893013001_05101_00001_nrcalong_cal.fits,117573120,266468178,PUBLIC,2,F356W
266453534,JWST,image,jw05893013001_03101_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893013001_03101_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893013001_03101_00001_nrcblong_cal.fits,117573120,266468178,PUBLIC,2,F356W
266453560,JWST,image,jw05893013001_03101_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893013001_03101_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893013001_03101_00001_nrcalong_cal.fits,117573120,266468178,PUBLIC,2,F356W
266453663,JWST,image,jw05893013001_05101_00002_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893013001_05101_00002_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893013001_05101_00002_nrcblong_cal.fits,117573120,266468178,PUBLIC,2,F356W
266453674,JWST,image,jw05893013001_05101_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893013001_05101_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893013001_05101_00001_nrcblong_cal.fits,117573120,266468178,PUBLIC,2,F356W
266454448,JWST,image,jw05893013001_05101_00002_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893013001_05101_00002_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893013001_05101_00002_nrcalong_cal.fits,117573120,266468178,PUBLIC,2,F356W
266459538,JWST,image,jw05893013002_05101_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893013002_05101_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893013002_05101_00001_nrcalong_cal.fits,117573120,266468178,PUBLIC,2,F356W
266459543,JWST,image,jw05893013002_05101_00002_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893013002_05101_00002_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893013002_05101_00002_nrcblong_cal.fits,117573120,266468178,PUBLIC,2,F356W
266459545,JWST,image,jw05893013002_03101_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893013002_03101_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893013002_03101_00001_nrcblong_cal.fits,117573120,266468178,PUBLIC,2,F356W
266459550,JWST,image,jw05893013002_03101_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893013002_03101_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893013002_03101_00001_nrcalong_cal.fits,117573120,266468178,PUBLIC,2,F356W
266459560,JWST,image,jw05893013002_05101_00002_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893013002_05101_00002_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893013002_05101_00002_nrcalong_cal.fits,117573120,266468178,PUBLIC,2,F356W
266459561,JWST,image,jw05893013002_05101_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893013002_05101_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893013002_05101_00001_nrcblong_cal.fits,117573120,266468178,PUBLIC,2,F356W
266460159,JWST,image,jw05893013004_03101_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893013004_03101_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893013004_03101_00001_nrcblong_cal.fits,117573120,266468178,PUBLIC,2,F356W
