obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
253890140,JWST,image,jw06434301001_02201_00002_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434301001_02201_00002_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434301001_02201_00002_nrcb1_cal.fits,117573120,253893841,PUBLIC,2,F150W
253890141,JWST,image,jw06434301001_02201_00004_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434301001_02201_00004_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434301001_02201_00004_nrca1_cal.fits,117570240,253893841,PUBLIC,2,F150W
253890142,JWST,image,jw06434301001_02201_00001_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434301001_02201_00001_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434301001_02201_00001_nrcb3_cal.fits,117573120,253893841,PUBLIC,2,F150W
253890144,JWST,image,jw06434301001_02201_00003_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434301001_02201_00003_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434301001_02201_00003_nrca1_cal.fits,117570240,253893841,PUBLIC,2,F150W
253890147,JWST,image,jw06434301001_02201_00001_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434301001_02201_00001_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434301001_02201_00001_nrca1_cal.fits,117570240,253893841,PUBLIC,2,F150W
253890148,JWST,image,jw06434301001_02201_00003_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434301001_02201_00003_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434301001_02201_00003_nrcb2_cal.fits,117573120,253893841,PUBLIC,2,F150W
253890149,JWST,image,jw06434301001_02201_00002_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434301001_02201_00002_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434301001_02201_00002_nrcb3_cal.fits,117573120,253893841,PUBLIC,2,F150W
253890150,JWST,image,jw06434301001_02201_00002_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434301001_02201_00002_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434301001_02201_00002_nrcb2_cal.fits,117573120,253893841,PUBLIC,2,F150W
253890152,JWST,image,jw06434301001_02201_00001_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434301001_02201_00001_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434301001_02201_00001_nrca4_cal.fits,117573120,253893841,PUBLIC,2,F150W
253890154,JWST,image,jw06434301001_02201_00003_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434301001_02201_00003_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434301001_02201_00003_nrca3_cal.fits,117573120,253893841,PUBLIC,2,F150W
253890155,JWST,image,jw06434301001_02201_00004_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434301001_02201_00004_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434301001_02201_00004_nrca3_cal.fits,117573120,253893841,PUBLIC,2,F150W
253890157,JWST,image,jw06434301001_02201_00001_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434301001_02201_00001_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434301001_02201_00001_nrcb1_cal.fits,117573120,253893841,PUBLIC,2,F150W
253890158,JWST,image,jw06434301001_02201_00001_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434301001_02201_00001_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434301001_02201_00001_nrca3_cal.fits,117573120,253893841,PUBLIC,2,F150W
253890159,JWST,image,jw06434301001_02201_00004_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434301001_02201_00004_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434301001_02201_00004_nrcb3_cal.fits,117573120,253893841,PUBLIC,2,F150W
