obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
126525585,JWST,image,jw01727105001_04101_00004_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00004_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00004_nrca2_cal.fits,117570240,126650705,PUBLIC,2,F150W
126525622,JWST,image,jw01727105001_04101_00004_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00004_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00004_nrcb2_cal.fits,117573120,126650705,PUBLIC,2,F150W
126525643,JWST,image,jw01727105001_04101_00002_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00002_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00002_nrca4_cal.fits,117573120,126650705,PUBLIC,2,F150W
126525779,JWST,image,jw01727105001_04101_00002_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00002_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00002_nrca1_cal.fits,117570240,126650705,PUBLIC,2,F150W
126525800,JWST,image,jw01727105001_04101_00002_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00002_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00002_nrcb2_cal.fits,117573120,126650705,PUBLIC,2,F150W
126525829,JWST,image,jw01727105001_04101_00001_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00001_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00001_nrcb4_cal.fits,117573120,126650705,PUBLIC,2,F150W
126525848,JWST,image,jw01727105001_04101_00002_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00002_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00002_nrca3_cal.fits,117573120,126650705,PUBLIC,2,F150W
126525866,JWST,image,jw01727105001_04101_00004_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00004_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00004_nrcb1_cal.fits,117573120,126650705,PUBLIC,2,F150W
126525871,JWST,image,jw01727105001_04101_00001_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00001_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00001_nrca2_cal.fits,117570240,126650705,PUBLIC,2,F150W
126525891,JWST,image,jw01727105001_04101_00002_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00002_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00002_nrca2_cal.fits,117570240,126650705,PUBLIC,2,F150W
126525918,JWST,image,jw01727105001_04101_00001_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00001_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00001_nrca3_cal.fits,117573120,126650705,PUBLIC,2,F150W
126525968,JWST,image,jw01727105001_04101_00004_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00004_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00004_nrca1_cal.fits,117570240,126650705,PUBLIC,2,F150W
126525993,JWST,image,jw01727105001_04101_00001_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00001_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00001_nrca1_cal.fits,117570240,126650705,PUBLIC,2,F150W
126526016,JWST,image,jw01727105001_04101_00002_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00002_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00002_nrcb3_cal.fits,117573120,126650705,PUBLIC,2,F150W
126526045,JWST,image,jw01727105001_04101_00004_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00004_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00004_nrcb3_cal.fits,117573120,126650705,PUBLIC,2,F150W
126526110,JWST,image,jw01727105001_04101_00002_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00002_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00002_nrcb4_cal.fits,117573120,126650705,PUBLIC,2,F150W
126526190,JWST,image,jw01727105001_04101_00001_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00001_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00001_nrcb1_cal.fits,117573120,126650705,PUBLIC,2,F150W
126526238,JWST,image,jw01727105001_04101_00004_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00004_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00004_nrca3_cal.fits,117573120,126650705,PUBLIC,2,F150W
126526321,JWST,image,jw01727105001_04101_00001_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00001_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00001_nrcb2_cal.fits,117573120,126650705,PUBLIC,2,F150W
126526332,JWST,image,jw01727105001_04101_00004_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00004_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00004_nrca4_cal.fits,117573120,126650705,PUBLIC,2,F150W
126526400,JWST,image,jw01727105001_04101_00004_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00004_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00004_nrcb4_cal.fits,117573120,126650705,PUBLIC,2,F150W
126526453,JWST,image,jw01727105001_04101_00002_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00002_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00002_nrcb1_cal.fits,117573120,126650705,PUBLIC,2,F150W
126526496,JWST,image,jw01727105001_04101_00001_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00001_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00001_nrca4_cal.fits,117573120,126650705,PUBLIC,2,F150W
126526584,JWST,image,jw01727105001_04101_00001_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00001_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00001_nrcb3_cal.fits,117573120,126650705,PUBLIC,2,F150W
126539644,JWST,image,jw01727105001_04101_00003_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00003_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00003_nrcb1_cal.fits,117573120,126650705,PUBLIC,2,F150W
126539664,JWST,image,jw01727105001_04101_00003_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00003_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00003_nrca2_cal.fits,117570240,126650705,PUBLIC,2,F150W
126539688,JWST,image,jw01727105001_04101_00003_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00003_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00003_nrcb2_cal.fits,117573120,126650705,PUBLIC,2,F150W
126539702,JWST,image,jw01727105001_04101_00003_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00003_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00003_nrca3_cal.fits,117573120,126650705,PUBLIC,2,F150W
126539703,JWST,image,jw01727105001_04101_00003_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00003_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00003_nrcb4_cal.fits,117573120,126650705,PUBLIC,2,F150W
126539727,JWST,image,jw01727105001_04101_00003_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00003_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00003_nrca1_cal.fits,117570240,126650705,PUBLIC,2,F150W
126539730,JWST,image,jw01727105001_04101_00003_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00003_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00003_nrca4_cal.fits,117573120,126650705,PUBLIC,2,F150W
126539777,JWST,image,jw01727105001_04101_00003_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727105001_04101_00003_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727105001_04101_00003_nrcb3_cal.fits,117573120,126650705,PUBLIC,2,F150W
