obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
213040450,JWST,image,jw01727164001_03101_00003_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727164001_03101_00003_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727164001_03101_00003_nrcb3_cal.fits,117573120,213040616,PUBLIC,2,F115W
213040451,JWST,image,jw01727164001_03101_00001_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727164001_03101_00001_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727164001_03101_00001_nrca3_cal.fits,117573120,213040616,PUBLIC,2,F115W
213040452,JWST,image,jw01727164001_03101_00004_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727164001_03101_00004_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727164001_03101_00004_nrca2_cal.fits,117570240,213040616,PUBLIC,2,F115W
213040454,JWST,image,jw01727164001_03101_00004_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727164001_03101_00004_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727164001_03101_00004_nrcb3_cal.fits,117573120,213040616,PUBLIC,2,F115W
213040456,JWST,image,jw01727164001_03101_00001_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727164001_03101_00001_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727164001_03101_00001_nrcb3_cal.fits,117573120,213040616,PUBLIC,2,F115W
213040457,JWST,image,jw01727164001_03101_00003_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727164001_03101_00003_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727164001_03101_00003_nrca2_cal.fits,117570240,213040616,PUBLIC,2,F115W
213040460,JWST,image,jw01727164001_03101_00002_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727164001_03101_00002_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727164001_03101_00002_nrcb3_cal.fits,117573120,213040616,PUBLIC,2,F115W
213040461,JWST,image,jw01727164001_03101_00003_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727164001_03101_00003_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727164001_03101_00003_nrca3_cal.fits,117573120,213040616,PUBLIC,2,F115W
213040464,JWST,image,jw01727164001_03101_00001_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727164001_03101_00001_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727164001_03101_00001_nrcb1_cal.fits,117573120,213040616,PUBLIC,2,F115W
213040468,JWST,image,jw01727164001_03101_00004_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727164001_03101_00004_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727164001_03101_00004_nrcb1_cal.fits,117573120,213040616,PUBLIC,2,F115W
213040476,JWST,image,jw01727164001_03101_00004_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727164001_03101_00004_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727164001_03101_00004_nrca3_cal.fits,117573120,213040616,PUBLIC,2,F115W
213040479,JWST,image,jw01727164001_03101_00002_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727164001_03101_00002_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727164001_03101_00002_nrcb2_cal.fits,117573120,213040616,PUBLIC,2,F115W
213040481,JWST,image,jw01727164001_03101_00004_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727164001_03101_00004_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727164001_03101_00004_nrcb4_cal.fits,117573120,213040616,PUBLIC,2,F115W
213040483,JWST,image,jw01727164001_03101_00003_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727164001_03101_00003_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727164001_03101_00003_nrcb1_cal.fits,117573120,213040616,PUBLIC,2,F115W
