obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
200666468,JWST,image,jw01727018001_02101_00001_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00001_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00001_nrca3_cal.fits,117573120,200672760,PUBLIC,2,F115W
200666470,JWST,image,jw01727018001_02101_00001_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00001_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00001_nrcb1_cal.fits,117573120,200672760,PUBLIC,2,F115W
200666479,JWST,image,jw01727018001_02101_00001_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00001_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00001_nrcb2_cal.fits,117573120,200672760,PUBLIC,2,F115W
200666496,JWST,image,jw01727018001_02101_00003_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00003_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00003_nrcb1_cal.fits,117573120,200672760,PUBLIC,2,F115W
200666501,JWST,image,jw01727018001_02101_00001_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00001_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00001_nrcb4_cal.fits,117573120,200672760,PUBLIC,2,F115W
200666530,JWST,image,jw01727018001_02101_00001_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00001_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00001_nrca1_cal.fits,117573120,200672760,PUBLIC,2,F115W
200666537,JWST,image,jw01727018001_02101_00001_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00001_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00001_nrca2_cal.fits,117570240,200672760,PUBLIC,2,F115W
200666550,JWST,image,jw01727018001_02101_00003_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00003_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00003_nrca1_cal.fits,117573120,200672760,PUBLIC,2,F115W
200666559,JWST,image,jw01727018001_02101_00003_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00003_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00003_nrca2_cal.fits,117570240,200672760,PUBLIC,2,F115W
200666581,JWST,image,jw01727018001_02101_00003_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00003_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00003_nrca4_cal.fits,117573120,200672760,PUBLIC,2,F115W
200666608,JWST,image,jw01727018001_02101_00001_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00001_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00001_nrcb3_cal.fits,117573120,200672760,PUBLIC,2,F115W
200666640,JWST,image,jw01727018001_02101_00003_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00003_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00003_nrcb3_cal.fits,117573120,200672760,PUBLIC,2,F115W
200666655,JWST,image,jw01727018001_02101_00003_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00003_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00003_nrcb2_cal.fits,117573120,200672760,PUBLIC,2,F115W
200666685,JWST,image,jw01727018001_02101_00003_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00003_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00003_nrca3_cal.fits,117573120,200672760,PUBLIC,2,F115W
200685340,JWST,image,jw01727018001_02101_00004_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00004_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00004_nrca4_cal.fits,117573120,200672760,PUBLIC,2,F115W
200685442,JWST,image,jw01727018001_02101_00002_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00002_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00002_nrcb2_cal.fits,117573120,200672760,PUBLIC,2,F115W
200685527,JWST,image,jw01727018001_02101_00004_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00004_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00004_nrcb1_cal.fits,117573120,200672760,PUBLIC,2,F115W
200685573,JWST,image,jw01727018001_02101_00002_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00002_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00002_nrcb4_cal.fits,117573120,200672760,PUBLIC,2,F115W
200685584,JWST,image,jw01727018001_02101_00003_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00003_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00003_nrcb4_cal.fits,117573120,200672760,PUBLIC,2,F115W
200685606,JWST,image,jw01727018001_02101_00002_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00002_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00002_nrca1_cal.fits,117573120,200672760,PUBLIC,2,F115W
200685639,JWST,image,jw01727018001_02101_00004_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00004_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00004_nrca2_cal.fits,117570240,200672760,PUBLIC,2,F115W
200685649,JWST,image,jw01727018001_02101_00004_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00004_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00004_nrcb3_cal.fits,117573120,200672760,PUBLIC,2,F115W
200685728,JWST,image,jw01727018001_02101_00004_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00004_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00004_nrca1_cal.fits,117573120,200672760,PUBLIC,2,F115W
200685738,JWST,image,jw01727018001_02101_00002_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00002_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00002_nrca4_cal.fits,117573120,200672760,PUBLIC,2,F115W
200685773,JWST,image,jw01727018001_02101_00002_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00002_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00002_nrca3_cal.fits,117573120,200672760,PUBLIC,2,F115W
200685833,JWST,image,jw01727018001_02101_00004_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00004_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00004_nrca3_cal.fits,117573120,200672760,PUBLIC,2,F115W
200685873,JWST,image,jw01727018001_02101_00002_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00002_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00002_nrcb1_cal.fits,117573120,200672760,PUBLIC,2,F115W
200685958,JWST,image,jw01727018001_02101_00002_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00002_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00002_nrca2_cal.fits,117570240,200672760,PUBLIC,2,F115W
200685972,JWST,image,jw01727018001_02101_00004_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00004_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00004_nrcb4_cal.fits,117573120,200672760,PUBLIC,2,F115W
200686050,JWST,image,jw01727018001_02101_00004_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00004_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00004_nrcb2_cal.fits,117573120,200672760,PUBLIC,2,F115W
200686090,JWST,image,jw01727018001_02101_00001_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00001_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00001_nrca4_cal.fits,117573120,200672760,PUBLIC,2,F115W
200686102,JWST,image,jw01727018001_02101_00002_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727018001_02101_00002_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727018001_02101_00002_nrcb3_cal.fits,117573120,200672760,PUBLIC,2,F115W
200836228,JWST,image,jw01727020001_02101_00001_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727020001_02101_00001_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727020001_02101_00001_nrca2_cal.fits,117570240,200878770,PUBLIC,2,F115W
200836239,JWST,image,jw01727020001_02101_00002_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727020001_02101_00002_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727020001_02101_00002_nrca1_cal.fits,117573120,200878770,PUBLIC,2,F115W
200836267,JWST,image,jw01727020001_02101_00003_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727020001_02101_00003_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727020001_02101_00003_nrcb3_cal.fits,117573120,200878770,PUBLIC,2,F115W
200836277,JWST,image,jw01727020001_02101_00003_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727020001_02101_00003_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727020001_02101_00003_nrcb2_cal.fits,117573120,200878770,PUBLIC,2,F115W
200836287,JWST,image,jw01727020001_02101_00001_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727020001_02101_00001_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727020001_02101_00001_nrcb4_cal.fits,117573120,200878770,PUBLIC,2,F115W
