obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
266334249,JWST,image,jw06368016001_03201_00001_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_03201_00001_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_03201_00001_nrca1_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334250,JWST,image,jw06368016001_03201_00002_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_03201_00002_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_03201_00002_nrca1_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334253,JWST,image,jw06368016001_05201_00003_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_05201_00003_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_05201_00003_nrca1_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334257,JWST,image,jw06368016001_05201_00001_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_05201_00001_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_05201_00001_nrca1_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334258,JWST,image,jw06368016001_05201_00002_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_05201_00002_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_05201_00002_nrca1_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334260,JWST,image,jw06368016001_03201_00003_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_03201_00003_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_03201_00003_nrca1_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334261,JWST,image,jw06368016001_05201_00001_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_05201_00001_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_05201_00001_nrca2_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334262,JWST,image,jw06368016001_03201_00003_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_03201_00003_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_03201_00003_nrca2_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334263,JWST,image,jw06368016001_05201_00003_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_05201_00003_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_05201_00003_nrca2_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334266,JWST,image,jw06368016001_03201_00002_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_03201_00002_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_03201_00002_nrca2_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334274,JWST,image,jw06368016001_05201_00002_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_05201_00002_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_05201_00002_nrca2_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334276,JWST,image,jw06368016001_03201_00001_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_03201_00001_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_03201_00001_nrca2_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334279,JWST,image,jw06368016001_05201_00003_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_05201_00003_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_05201_00003_nrca3_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334285,JWST,image,jw06368016001_03201_00001_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_03201_00001_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_03201_00001_nrca4_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334286,JWST,image,jw06368016001_03201_00001_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_03201_00001_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_03201_00001_nrca3_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334287,JWST,image,jw06368016001_05201_00001_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_05201_00001_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_05201_00001_nrca3_cal.fits,117573120,266380057,PUBLIC,2,F140M
266334288,JWST,image,jw06368016001_05201_00002_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06368016001_05201_00002_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6368,jw06368016001_05201_00002_nrca4_cal.fits,117573120,266380057,PUBLIC,2,F140M
