obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
200632448,JWST,image,jw01727019001_04101_00001_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00001_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00001_nrcb3_cal.fits,117573120,200632759,PUBLIC,2,F150W
200632450,JWST,image,jw01727019001_04101_00001_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00001_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00001_nrca2_cal.fits,117570240,200632759,PUBLIC,2,F150W
200632459,JWST,image,jw01727019001_04101_00001_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00001_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00001_nrca3_cal.fits,117573120,200632759,PUBLIC,2,F150W
200632470,JWST,image,jw01727019001_04101_00001_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00001_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00001_nrcb2_cal.fits,117573120,200632759,PUBLIC,2,F150W
200632478,JWST,image,jw01727019001_04101_00002_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00002_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00002_nrca4_cal.fits,117573120,200632759,PUBLIC,2,F150W
200632486,JWST,image,jw01727019001_04101_00001_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00001_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00001_nrca1_cal.fits,117570240,200632759,PUBLIC,2,F150W
200632490,JWST,image,jw01727019001_04101_00002_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00002_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00002_nrca2_cal.fits,117570240,200632759,PUBLIC,2,F150W
200632499,JWST,image,jw01727019001_04101_00001_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00001_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00001_nrcb4_cal.fits,117573120,200632759,PUBLIC,2,F150W
200632501,JWST,image,jw01727019001_04101_00002_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00002_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00002_nrcb1_cal.fits,117573120,200632759,PUBLIC,2,F150W
200632503,JWST,image,jw01727019001_04101_00001_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00001_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00001_nrca4_cal.fits,117573120,200632759,PUBLIC,2,F150W
200632508,JWST,image,jw01727019001_04101_00002_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00002_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00002_nrca1_cal.fits,117570240,200632759,PUBLIC,2,F150W
200632513,JWST,image,jw01727019001_04101_00002_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00002_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00002_nrcb4_cal.fits,117573120,200632759,PUBLIC,2,F150W
200632526,JWST,image,jw01727019001_04101_00002_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00002_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00002_nrca3_cal.fits,117573120,200632759,PUBLIC,2,F150W
200632529,JWST,image,jw01727019001_04101_00002_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00002_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00002_nrcb3_cal.fits,117573120,200632759,PUBLIC,2,F150W
200632530,JWST,image,jw01727019001_04101_00001_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00001_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00001_nrcb1_cal.fits,117573120,200632759,PUBLIC,2,F150W
200632531,JWST,image,jw01727019001_04101_00002_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727019001_04101_00002_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727019001_04101_00002_nrcb2_cal.fits,117573120,200632759,PUBLIC,2,F150W
