obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
368918559,JWST,image,jw07814004003_06201_00002_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw07814004003_06201_00002_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,7814,jw07814004003_06201_00002_nrcblong_cal.fits,117573120,372629438,PUBLIC,2,F360M
368918579,JWST,image,jw07814004003_06201_00003_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw07814004003_06201_00003_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,7814,jw07814004003_06201_00003_nrcalong_cal.fits,117573120,372629438,PUBLIC,2,F360M
368918581,JWST,image,jw07814004003_06201_00002_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw07814004003_06201_00002_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,7814,jw07814004003_06201_00002_nrcalong_cal.fits,117573120,372629438,PUBLIC,2,F360M
368918611,JWST,image,jw07814004003_06201_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw07814004003_06201_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,7814,jw07814004003_06201_00001_nrcblong_cal.fits,117573120,372629438,PUBLIC,2,F360M
369145261,JWST,image,jw07814004001_06201_00002_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw07814004001_06201_00002_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,7814,jw07814004001_06201_00002_nrcblong_cal.fits,117573120,372629438,PUBLIC,2,F360M
369145954,JWST,image,jw07814004001_06201_00002_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw07814004001_06201_00002_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,7814,jw07814004001_06201_00002_nrcalong_cal.fits,117573120,372629438,PUBLIC,2,F360M
369145981,JWST,image,jw07814004001_06201_00003_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw07814004001_06201_00003_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,7814,jw07814004001_06201_00003_nrcalong_cal.fits,117573120,372629438,PUBLIC,2,F360M
369146066,JWST,image,jw07814004001_06201_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw07814004001_06201_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,7814,jw07814004001_06201_00001_nrcalong_cal.fits,117573120,372629438,PUBLIC,2,F360M
369146776,JWST,image,jw07814004001_06201_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw07814004001_06201_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,7814,jw07814004001_06201_00001_nrcblong_cal.fits,117573120,372629438,PUBLIC,2,F360M
369148259,JWST,image,jw07814004001_06201_00003_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw07814004001_06201_00003_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,7814,jw07814004001_06201_00003_nrcblong_cal.fits,117573120,372629438,PUBLIC,2,F360M
