obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
200655084,JWST,image,jw01727028001_02101_00003_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727028001_02101_00003_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727028001_02101_00003_nrca1_cal.fits,117573120,200732616,PUBLIC,2,F115W
200655085,JWST,image,jw01727028001_02101_00001_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727028001_02101_00001_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727028001_02101_00001_nrca2_cal.fits,117570240,200732616,PUBLIC,2,F115W
200655087,JWST,image,jw01727028001_02101_00002_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727028001_02101_00002_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727028001_02101_00002_nrca3_cal.fits,117573120,200732616,PUBLIC,2,F115W
200655096,JWST,image,jw01727028001_02101_00001_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727028001_02101_00001_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727028001_02101_00001_nrca3_cal.fits,117573120,200732616,PUBLIC,2,F115W
200655107,JWST,image,jw01727028001_02101_00002_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727028001_02101_00002_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727028001_02101_00002_nrca2_cal.fits,117570240,200732616,PUBLIC,2,F115W
200655109,JWST,image,jw01727028001_02101_00003_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727028001_02101_00003_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727028001_02101_00003_nrca3_cal.fits,117573120,200732616,PUBLIC,2,F115W
200655117,JWST,image,jw01727028001_02101_00002_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727028001_02101_00002_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727028001_02101_00002_nrca4_cal.fits,117573120,200732616,PUBLIC,2,F115W
200655119,JWST,image,jw01727028001_02101_00001_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727028001_02101_00001_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727028001_02101_00001_nrca1_cal.fits,117573120,200732616,PUBLIC,2,F115W
200655127,JWST,image,jw01727028001_02101_00004_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727028001_02101_00004_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727028001_02101_00004_nrca4_cal.fits,117573120,200732616,PUBLIC,2,F115W
200655132,JWST,image,jw01727028001_02101_00004_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727028001_02101_00004_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727028001_02101_00004_nrca2_cal.fits,117570240,200732616,PUBLIC,2,F115W
200655137,JWST,image,jw01727028001_02101_00001_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727028001_02101_00001_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727028001_02101_00001_nrca4_cal.fits,117573120,200732616,PUBLIC,2,F115W
