obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
140140776,JWST,image,jw02321003001_02101_00004_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003001_02101_00004_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003001_02101_00004_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140140782,JWST,image,jw02321003001_02101_00004_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003001_02101_00004_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003001_02101_00004_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140140789,JWST,image,jw02321003001_02101_00006_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003001_02101_00006_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003001_02101_00006_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140140790,JWST,image,jw02321003001_02101_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003001_02101_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003001_02101_00001_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140140795,JWST,image,jw02321003001_02101_00005_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003001_02101_00005_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003001_02101_00005_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140140799,JWST,image,jw02321003001_02101_00002_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003001_02101_00002_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003001_02101_00002_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140140804,JWST,image,jw02321003001_02101_00005_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003001_02101_00005_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003001_02101_00005_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140140809,JWST,image,jw02321003001_02101_00003_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003001_02101_00003_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003001_02101_00003_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140140814,JWST,image,jw02321003001_02101_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003001_02101_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003001_02101_00001_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140140819,JWST,image,jw02321003001_02101_00002_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003001_02101_00002_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003001_02101_00002_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140140826,JWST,image,jw02321003001_02101_00003_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003001_02101_00003_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003001_02101_00003_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140140827,JWST,image,jw02321003001_02101_00006_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003001_02101_00006_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003001_02101_00006_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187160,JWST,image,jw02321003002_02101_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003002_02101_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003002_02101_00001_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187163,JWST,image,jw02321003002_02101_00003_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003002_02101_00003_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003002_02101_00003_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187168,JWST,image,jw02321003002_02101_00002_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003002_02101_00002_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003002_02101_00002_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187171,JWST,image,jw02321003002_02101_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003002_02101_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003002_02101_00001_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187174,JWST,image,jw02321003002_02101_00002_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003002_02101_00002_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003002_02101_00002_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187274,JWST,image,jw02321003002_02101_00004_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003002_02101_00004_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003002_02101_00004_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187275,JWST,image,jw02321003002_02101_00003_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003002_02101_00003_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003002_02101_00003_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187285,JWST,image,jw02321003002_02101_00004_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003002_02101_00004_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003002_02101_00004_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187375,JWST,image,jw02321003002_02101_00005_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003002_02101_00005_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003002_02101_00005_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187377,JWST,image,jw02321003002_02101_00005_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003002_02101_00005_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003002_02101_00005_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187382,JWST,image,jw02321003002_02101_00006_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003002_02101_00006_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003002_02101_00006_nrcblong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
140187387,JWST,image,jw02321003002_02101_00006_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321003002_02101_00006_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321003002_02101_00006_nrcalong_cal.fits,117573120,140242251,PUBLIC,2,F444W;F470N
