obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
233115980,JWST,image,jw02321004004_02101_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004004_02101_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004004_02101_00001_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233115983,JWST,image,jw02321004004_02101_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004004_02101_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004004_02101_00001_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233115987,JWST,image,jw02321004004_02101_00002_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004004_02101_00002_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004004_02101_00002_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233115988,JWST,image,jw02321004004_02101_00002_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004004_02101_00002_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004004_02101_00002_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116021,JWST,image,jw02321004004_02101_00003_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004004_02101_00003_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004004_02101_00003_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116026,JWST,image,jw02321004004_02101_00004_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004004_02101_00004_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004004_02101_00004_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116032,JWST,image,jw02321004004_02101_00005_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004004_02101_00005_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004004_02101_00005_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116036,JWST,image,jw02321004004_02101_00005_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004004_02101_00005_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004004_02101_00005_nrcalong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116040,JWST,image,jw02321004004_02101_00003_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004004_02101_00003_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004004_02101_00003_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
233116043,JWST,image,jw02321004004_02101_00004_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw02321004004_02101_00004_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,2321,jw02321004004_02101_00004_nrcblong_cal.fits,117573120,233116542,PUBLIC,2,F444W;F470N
