candidate_id,catalog_aic_atmo2020,catalog_aic_exp_sfh,catalog_aic_lognormal_sfh,catalog_aic_sonora_elf_owl,catalog_candidate_id,catalog_chi2_atmo2020,catalog_chi2_exp_sfh,catalog_chi2_lognormal_sfh,catalog_chi2_sonora_elf_owl,catalog_dec_deg,catalog_k_atmo2020,catalog_k_exp_sfh,catalog_k_lognormal_sfh,catalog_k_sonora_elf_owl,catalog_ra_deg,catalog_source_classification_3sigma,catalog_source_row,classification,dec_deg,filter_early,filter_late,input_f444w_flux_njy,input_f444w_mag_ab,inventory_baseline_days,inventory_early_mjd,inventory_late_mjd,n_astrometric_early,n_astrometric_late,n_covering_early,n_covering_late,n_hst_inventory_rows,n_jwst_inventory_rows,n_pair_attempts,pair_filter_cost,pair_status,pair_type,pm_search_faint_astrometry_fallback,pm_search_pair_attempt_limit,pm_search_remote_cal_io,pm_status,ra_deg,reason,selected_pair_rank,baseline_days,baseline_year,centroid_method_delta_masyr,centroid_method_disagreement,com_baseline_days,com_baseline_year,com_delta_east_mas,com_delta_north_mas,com_mu_alpha_cosdec_masyr,com_mu_delta_masyr,com_sigma_delta_east_mas,com_sigma_delta_north_mas,com_sigma_mu_alpha_cosdec_masyr,com_sigma_mu_delta_masyr,com_significance_2d,cross_filter_color_systematic_flag,delta_east_mas,delta_north_mas,evidence_grade,mu_alpha_cosdec_masyr,mu_delta_masyr,pair_direction_fraction,sigma_delta_east_mas,sigma_delta_north_mas,sigma_mu_alpha_cosdec_masyr,sigma_mu_delta_masyr,significance_2d
42904,9.54121525289289,4191.0394278849,12.41013770284239,12.890341321992,42904,7.54121525289289,4179.0394278849,0.410137702842389,10.890341321992,2.09625329227394,1,6,6,1,149.970003750844,Unclassified,45,INSUFFICIENT_DATA,2.09625329227394,F444W,F356W,,,760.9037675694417,60043.29459521991,60804.19836278935,0.0,0.0,2.0,4.0,74,9,9,908.0,PAIR_FOUND,CROSS_FILTER_JWST,bounded_forced_gaussian_v1,9,aiohttp_bounded_v1,INSUFFICIENT_DATA,149.970003750844,all 9 ranked NIRCam pairs exhausted; best failure: target is not securely centroidable in both independent epochs,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
108890,4.56132332307323,18.7788075942715,12.633015334264186,4.18064134823142,108890,2.56132332307323,6.7788075942715,0.633015334264186,2.18064134823142,2.06925623062802,1,6,6,1,150.070444669292,Unclassified,32,INSUFFICIENT_DATA,2.06925623062802,F444W,F410M,,,760.4061110995317,60043.52235795139,60803.92846905092,0.0,0.0,2.0,4.0,89,24,9,394.0,PAIR_FOUND,CROSS_FILTER_JWST,bounded_forced_gaussian_v1,9,aiohttp_bounded_v1,INSUFFICIENT_DATA,150.070444669292,all 9 ranked NIRCam pairs exhausted; best failure: target is not securely centroidable in both independent epochs,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
184480,3.66440800607616,17.41487262008421,12.550854350409264,3.56382838891829,184480,1.66440800607616,5.41487262008421,0.550854350409264,1.56382838891829,2.01616387087277,1,6,6,1,150.380935484594,Unclassified,27,INSUFFICIENT_DATA,2.01616387087277,,,,,,,,,,,,21,8,0,,NO_INDEPENDENT_JWST_EPOCH_PAIR,,bounded_forced_gaussian_v1,9,aiohttp_bounded_v1,INSUFFICIENT_DATA,150.380935484594,NO_INDEPENDENT_JWST_EPOCH_PAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195502,7.280611866852,69.1575758528092,12.53290035195683,6.48072645013537,195502,5.280611866852,57.1575758528092,0.53290035195683,4.48072645013537,1.97253914389118,1,6,6,1,149.784890944399,Unclassified,38,INSUFFICIENT_DATA,1.97253914389118,,,,,,,,,,,,42,4,0,,NO_INDEPENDENT_JWST_EPOCH_PAIR,,bounded_forced_gaussian_v1,9,aiohttp_bounded_v1,INSUFFICIENT_DATA,149.784890944399,NO_INDEPENDENT_JWST_EPOCH_PAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228965,5.9796683004265,16.78689417519275,12.598213587267724,5.8266647232529305,228965,3.9796683004265,4.78689417519275,0.598213587267724,3.82666472325293,2.10081067930243,1,6,6,1,149.857572950087,Unclassified,37,INSUFFICIENT_DATA,2.10081067930243,F356W,F356W,,,393.59065361689863,60791.68710052083,61185.27775413773,0.0,0.0,3.0,3.0,42,17,9,744.0,PAIR_FOUND,SAME_FILTER_JWST,bounded_forced_gaussian_v1,9,aiohttp_bounded_v1,INSUFFICIENT_DATA,149.857572950087,all 9 ranked NIRCam pairs exhausted; best failure: target is not securely centroidable in both independent epochs,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
264334,3.71702601086733,16.73622187356638,12.541899512444608,3.57077205648673,264334,1.71702601086733,4.73622187356638,0.541899512444608,1.57077205648673,1.95696559639944,1,6,6,1,149.928515387627,Unclassified,28,INSUFFICIENT_DATA,1.95696559639944,,,,,,,,,,,,35,8,0,,NO_INDEPENDENT_JWST_EPOCH_PAIR,,bounded_forced_gaussian_v1,9,aiohttp_bounded_v1,INSUFFICIENT_DATA,149.928515387627,NO_INDEPENDENT_JWST_EPOCH_PAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282185,7.60278408332836,20.67785821729553,12.536567196824985,5.62622139558443,282185,5.60278408332836,8.67785821729553,0.536567196824984,3.62622139558443,1.93310522847692,1,6,6,1,149.99893284692,Unclassified,36,INSUFFICIENT_DATA,1.93310522847692,,,,,,,,,,,,40,8,0,,NO_INDEPENDENT_JWST_EPOCH_PAIR,,bounded_forced_gaussian_v1,9,aiohttp_bounded_v1,INSUFFICIENT_DATA,149.99893284692,NO_INDEPENDENT_JWST_EPOCH_PAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291010,5.72805936701291,19.57872087908068,12.497692080651904,3.76615548513057,291010,3.72805936701291,7.57872087908068,0.497692080651906,1.76615548513057,1.97731991998037,1,6,6,1,150.06865494848,Unclassified,29,INSUFFICIENT_DATA,1.97731991998037,F444W,F410M,,,733.1276490277814,60041.011059756944,60774.138708784725,0.0,0.0,2.0,2.0,45,19,9,394.0,PAIR_FOUND,CROSS_FILTER_JWST,bounded_forced_gaussian_v1,9,aiohttp_bounded_v1,INSUFFICIENT_DATA,150.06865494848,all 9 ranked NIRCam pairs exhausted; best failure: target is not securely centroidable in both independent epochs,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
307607,6.63428961168935,19.46722219622778,12.540430105850623,6.6650417062776,307607,4.63428961168935,7.46722219622778,0.540430105850624,4.6650417062776,1.9626151014652,1,6,6,1,150.103930647123,Unclassified,39,INSUFFICIENT_DATA,1.9626151014652,F444W,F356W,,,747.6053618171281,60046.05844626157,60793.6638080787,0.0,0.0,2.0,4.0,45,8,9,908.0,PAIR_FOUND,CROSS_FILTER_JWST,bounded_forced_gaussian_v1,9,aiohttp_bounded_v1,INSUFFICIENT_DATA,150.103930647123,all 9 ranked NIRCam pairs exhausted; best failure: target is not securely centroidable in both independent epochs,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
474672,4.9936267764685205,21.06084855034012,12.471864300142231,3.8576543964324097,474672,2.99362677646852,9.06084855034012,0.471864300142231,1.85765439643241,2.47961793201337,1,6,6,1,150.201510426313,Unclassified,31,AMBIGUOUS,2.47961793201337,F444W,F480M,,,501.15607023148186,60315.7884415625,60816.94451179398,1.0,1.0,1.0,4.0,65,18,1,413.0,PAIR_FOUND,CROSS_FILTER_JWST,bounded_forced_gaussian_v1,9,aiohttp_bounded_v1,PM_MEASURED,150.201510426313,,1.0,501.1801783564806,1.3721565458082974,43.31992101699731,False,501.1801783564806,1.3721565458082974,-44.470479269975925,-11.149282015241258,-32.40918786258434,-8.125371736410397,89.88032358777345,98.97616186270966,65.50296601531538,72.1318293929835,0.5074355283788867,False,-51.84503618498927,-70.13176396502818,B_CROSS_FILTER_JWST,-37.78361612118307,-51.110614294898554,1.0,89.88032358777345,98.97616186270966,65.50296601531538,72.1318293929835,0.9136735835090454
