obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
262998474,JWST,image,jw06434351001_02201_00001_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434351001_02201_00001_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434351001_02201_00001_nrca1_cal.fits,117570240,262999507,PUBLIC,2,F150W
262998476,JWST,image,jw06434351001_02201_00002_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434351001_02201_00002_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434351001_02201_00002_nrca3_cal.fits,117573120,262999507,PUBLIC,2,F150W
262998478,JWST,image,jw06434351001_02201_00003_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434351001_02201_00003_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434351001_02201_00003_nrca3_cal.fits,117573120,262999507,PUBLIC,2,F150W
262998480,JWST,image,jw06434351001_02201_00004_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434351001_02201_00004_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434351001_02201_00004_nrca2_cal.fits,117570240,262999507,PUBLIC,2,F150W
262998482,JWST,image,jw06434351001_02201_00003_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434351001_02201_00003_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434351001_02201_00003_nrca2_cal.fits,117570240,262999507,PUBLIC,2,F150W
262998484,JWST,image,jw06434351001_02201_00001_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434351001_02201_00001_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434351001_02201_00001_nrca2_cal.fits,117570240,262999507,PUBLIC,2,F150W
262998486,JWST,image,jw06434351001_02201_00002_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434351001_02201_00002_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434351001_02201_00002_nrca1_cal.fits,117570240,262999507,PUBLIC,2,F150W
262998488,JWST,image,jw06434351001_02201_00004_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434351001_02201_00004_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434351001_02201_00004_nrca3_cal.fits,117573120,262999507,PUBLIC,2,F150W
262998490,JWST,image,jw06434351001_02201_00003_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434351001_02201_00003_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434351001_02201_00003_nrca1_cal.fits,117570240,262999507,PUBLIC,2,F150W
262998492,JWST,image,jw06434351001_02201_00001_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw06434351001_02201_00001_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,6434,jw06434351001_02201_00001_nrca3_cal.fits,117573120,262999507,PUBLIC,2,F150W
