obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
126306961,JWST,image,jw01727090001_02101_00004_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727090001_02101_00004_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727090001_02101_00004_nrca4_cal.fits,117573120,126650155,PUBLIC,2,F115W
126306965,JWST,image,jw01727090001_02101_00003_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727090001_02101_00003_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727090001_02101_00003_nrca3_cal.fits,117573120,126650155,PUBLIC,2,F115W
126306969,JWST,image,jw01727090001_02101_00003_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727090001_02101_00003_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727090001_02101_00003_nrca2_cal.fits,117570240,126650155,PUBLIC,2,F115W
126306978,JWST,image,jw01727090001_02101_00002_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727090001_02101_00002_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727090001_02101_00002_nrca2_cal.fits,117570240,126650155,PUBLIC,2,F115W
126306990,JWST,image,jw01727090001_02101_00001_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727090001_02101_00001_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727090001_02101_00001_nrca1_cal.fits,117573120,126650155,PUBLIC,2,F115W
126306996,JWST,image,jw01727090001_02101_00001_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727090001_02101_00001_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727090001_02101_00001_nrca2_cal.fits,117570240,126650155,PUBLIC,2,F115W
126307011,JWST,image,jw01727090001_02101_00002_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727090001_02101_00002_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727090001_02101_00002_nrcb1_cal.fits,117573120,126650155,PUBLIC,2,F115W
126307016,JWST,image,jw01727090001_02101_00002_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727090001_02101_00002_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727090001_02101_00002_nrca1_cal.fits,117573120,126650155,PUBLIC,2,F115W
126307038,JWST,image,jw01727090001_02101_00003_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727090001_02101_00003_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727090001_02101_00003_nrca1_cal.fits,117573120,126650155,PUBLIC,2,F115W
126307040,JWST,image,jw01727090001_02101_00003_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727090001_02101_00003_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727090001_02101_00003_nrcb3_cal.fits,117573120,126650155,PUBLIC,2,F115W
