obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
107457529,JWST,image,jw01837004002_08201_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01837004002_08201_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1837,jw01837004002_08201_00001_nrcblong_cal.fits,117573120,109441876,PUBLIC,2,F444W
107457535,JWST,image,jw01837004002_08201_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01837004002_08201_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1837,jw01837004002_08201_00001_nrcalong_cal.fits,117573120,109441876,PUBLIC,2,F444W
107457569,JWST,image,jw01837004002_08201_00002_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01837004002_08201_00002_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1837,jw01837004002_08201_00002_nrcblong_cal.fits,117573120,109441876,PUBLIC,2,F444W
107457583,JWST,image,jw01837004002_08201_00002_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01837004002_08201_00002_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1837,jw01837004002_08201_00002_nrcalong_cal.fits,117573120,109441876,PUBLIC,2,F444W
107457677,JWST,image,jw01837004003_08201_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01837004003_08201_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1837,jw01837004003_08201_00001_nrcblong_cal.fits,117573120,109441876,PUBLIC,2,F444W
107457985,JWST,image,jw01837004003_08201_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01837004003_08201_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1837,jw01837004003_08201_00001_nrcalong_cal.fits,117573120,109441876,PUBLIC,2,F444W
107458078,JWST,image,jw01837004003_08201_00002_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01837004003_08201_00002_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1837,jw01837004003_08201_00002_nrcblong_cal.fits,117573120,109441876,PUBLIC,2,F444W
107458144,JWST,image,jw01837004003_08201_00002_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01837004003_08201_00002_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1837,jw01837004003_08201_00002_nrcalong_cal.fits,117573120,109441876,PUBLIC,2,F444W
107459932,JWST,image,jw01837004012_08201_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01837004012_08201_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1837,jw01837004012_08201_00001_nrcalong_cal.fits,117573120,109441876,PUBLIC,2,F444W
107459997,JWST,image,jw01837004013_08201_00001_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01837004013_08201_00001_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1837,jw01837004013_08201_00001_nrcalong_cal.fits,117573120,109441876,PUBLIC,2,F444W
107460038,JWST,image,jw01837004013_08201_00002_nrcalong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01837004013_08201_00002_nrcalong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1837,jw01837004013_08201_00002_nrcalong_cal.fits,117573120,109441876,PUBLIC,2,F444W
107460043,JWST,image,jw01837004013_08201_00002_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01837004013_08201_00002_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1837,jw01837004013_08201_00002_nrcblong_cal.fits,117573120,109441876,PUBLIC,2,F444W
107460044,JWST,image,jw01837004013_08201_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01837004013_08201_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1837,jw01837004013_08201_00001_nrcblong_cal.fits,117573120,109441876,PUBLIC,2,F444W
107460141,JWST,image,jw01837004012_08201_00001_nrcblong,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01837004012_08201_00001_nrcblong_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1837,jw01837004012_08201_00001_nrcblong_cal.fits,117573120,109441876,PUBLIC,2,F444W
