obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
199723228,JWST,image,jw01727071001_02101_00002_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00002_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00002_nrca1_cal.fits,117573120,199720708,PUBLIC,2,F115W
199723243,JWST,image,jw01727071001_02101_00001_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00001_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00001_nrca4_cal.fits,117573120,199720708,PUBLIC,2,F115W
199723251,JWST,image,jw01727071001_02101_00002_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00002_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00002_nrca4_cal.fits,117573120,199720708,PUBLIC,2,F115W
199723253,JWST,image,jw01727071001_02101_00002_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00002_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00002_nrcb2_cal.fits,117573120,199720708,PUBLIC,2,F115W
199723263,JWST,image,jw01727071001_02101_00002_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00002_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00002_nrca2_cal.fits,117570240,199720708,PUBLIC,2,F115W
199723275,JWST,image,jw01727071001_02101_00002_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00002_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00002_nrcb1_cal.fits,117573120,199720708,PUBLIC,2,F115W
199723286,JWST,image,jw01727071001_02101_00001_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00001_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00001_nrca1_cal.fits,117573120,199720708,PUBLIC,2,F115W
199723292,JWST,image,jw01727071001_02101_00002_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00002_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00002_nrca3_cal.fits,117573120,199720708,PUBLIC,2,F115W
199723302,JWST,image,jw01727071001_02101_00001_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00001_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00001_nrca2_cal.fits,117570240,199720708,PUBLIC,2,F115W
199723304,JWST,image,jw01727071001_02101_00001_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00001_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00001_nrcb4_cal.fits,117573120,199720708,PUBLIC,2,F115W
199723311,JWST,image,jw01727071001_02101_00001_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00001_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00001_nrca3_cal.fits,117573120,199720708,PUBLIC,2,F115W
199723316,JWST,image,jw01727071001_02101_00001_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00001_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00001_nrcb2_cal.fits,117573120,199720708,PUBLIC,2,F115W
199723324,JWST,image,jw01727071001_02101_00002_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00002_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00002_nrcb3_cal.fits,117573120,199720708,PUBLIC,2,F115W
199723335,JWST,image,jw01727071001_02101_00001_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00001_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00001_nrcb3_cal.fits,117573120,199720708,PUBLIC,2,F115W
199723342,JWST,image,jw01727071001_02101_00002_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00002_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00002_nrcb4_cal.fits,117573120,199720708,PUBLIC,2,F115W
199723351,JWST,image,jw01727071001_02101_00001_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727071001_02101_00001_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727071001_02101_00001_nrcb1_cal.fits,117573120,199720708,PUBLIC,2,F115W
