intentType,obs_collection,provenance_name,instrument_name,project,filters,wave_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,wavelength_region,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,wave_min,wave_max,distance,candidate_id,candidate_ra_deg,candidate_dec_deg,filter_norm,t_min_numeric
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F115W,INFRARED,CWEBTILE-2-16,,jw01727-o071_t131_nircam_clear-f115w,150.40783708333333,2.257811111111111,image,"Kartaltepe, Jeyhan",3,60308.55527621528,60308.56223642361,515.364,INFRARED,1013.0000000000001,1282.0,COSMOS-Web: The JWST Cosmic Origins Survey,60309.24493061,1727,GO,,POLYGON 150.439796111 2.28349498 150.432958016 2.267004866 150.416499801 2.273954903 150.416522879 2.274010189 150.415455123 2.274461082 150.415391704 2.274309755 150.399224423 2.281224123 150.399244761 2.28127234 150.397708093 2.281929532 150.404471379 2.297963914 150.420674707 2.291239051 150.420647566 2.291174289 150.421695503 2.290739361 150.421765501 2.290907043 150.438279809 2.28420026 150.438248053 2.284123682 POLYGON 150.432480516 2.265760935 150.425485449 2.249245762 150.409037059 2.256479853 150.409050965 2.256512198 150.407520656 2.257185231 150.407525159 2.257195705 150.391812012 2.264014673 150.391829205 2.264054588 150.390295625 2.264720105 150.397211418 2.280775263 150.413421106 2.27394706 150.413397127 2.273890556 150.414502813 2.273424791 150.41450645 2.27343325 150.430964154 2.266466239 150.43094139 2.266412496 POLYGON 150.420373161 2.238939308 150.413331385 2.222469314 150.396914523 2.22947621 150.396935294 2.229525509 150.395398029 2.230181626 150.39540192 2.230190861 150.379701854 2.236826496 150.37972462 2.236881409 150.378185375 2.237531967 150.384871917 2.253659779 150.401211625 2.246961498 150.401181572 2.246890073 150.402252948 2.246450871 150.40225643 2.246459136 150.418856708 2.239644649 150.418826583 2.23957419 POLYGON 150.412859473 2.221243613 150.405623639 2.20494301 150.405597311 2.204953918 150.389395745 2.212267617 150.389403413 2.212285 150.388373372 2.212749977 150.388313483 2.21261272 150.372271248 2.219658524 150.372285609 2.219691646 150.370755229 2.220363789 150.370768924 2.220396797 150.377670744 2.236314416 150.393825747 2.229426806 150.393804091 2.229377174 150.394908171 2.228906452 150.394978549 2.229065984 150.41134296 2.221948978 150.411325913 2.221910575,mast:JWST/product/jw01727-o071_t131_nircam_clear-f115w_i2d.jpg,mast:JWST/product/jw01727-o071_t131_nircam_clear-f115w_i2d.fits,PUBLIC,False,,199720708,1013.0000000000001,1282.0,0.0,1140578,150.426837946364,2.27168871315818,F115W,60308.55527621528
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F277W,INFRARED,CWEBTILE-2-16,Galaxy; Field galaxies,jw01727-o071_t131_nircam_clear-f277w,150.40783708333333,2.257811111111111,image,"Kartaltepe, Jeyhan",3,60308.55527621528,60308.56223642361,515.364,INFRARED,2416.0,3127.0,COSMOS-Web: The JWST Cosmic Origins Survey,60309.24493061,1727,GO,,POLYGON 150.392121369 2.264247847 150.392136426 2.264283073 150.390606187 2.264953874 150.40452455 2.297514683 150.437737366 2.283883823 150.437707328 2.283812101 150.439252465 2.283177945 150.425243655 2.249727866 POLYGON 150.372502424 2.219670692 150.372516297 2.219703428 150.370987091 2.22037678 150.380831267 2.243604391 150.384834075 2.253023879 150.418318546 2.239231322 150.41828851 2.239161917 150.419833796 2.238525383 150.405407628 2.205188971 150.40492535 2.205393614,mast:JWST/product/jw01727-o071_t131_nircam_clear-f277w_i2d.jpg,mast:JWST/product/jw01727-o071_t131_nircam_clear-f277w_i2d.fits,PUBLIC,False,,199820367,2416.0,3127.0,0.0,1140578,150.426837946364,2.27168871315818,F277W,60308.55527621528
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F115W,INFRARED,CWEBTILE-2-16,,jw01727-o165_t131_nircam_clear-f115w,150.40783708333333,2.257811111111111,image,"Kartaltepe, Jeyhan",3,60407.62509155092,60407.64273841435,1030.728,INFRARED,1013.0000000000001,1282.0,COSMOS-Web: The JWST Cosmic Origins Survey,60407.95363413,1727,GO,,POLYGON 150.385413266 2.251317581 150.38941676 2.264450537 150.390019107 2.264257773 150.394640865 2.279235725 150.394656592 2.279230881 150.395044247 2.280487162 150.394982848 2.280506533 150.396424734 2.284960913 150.398704659 2.29234941 150.398806285 2.292318109 150.399211 2.293568365 150.399046648 2.293620217 150.404537395 2.310582192 150.404637279 2.31055259 150.421441527 2.30499464 150.421435975 2.304977355 150.422511592 2.304621602 150.42255656 2.30476357 150.439245914 2.299431211 150.43923544 2.299397878 150.440814774 2.298893275 150.440668725 2.298401333 150.436705557 2.285788675 150.436756884 2.285772275 150.434492811 2.278567091 150.430263138 2.264306316 150.430102218 2.264353367 150.42619733 2.251187872 150.425596385 2.251363586 150.421939486 2.239625514 150.421958683 2.239619473 150.41970454 2.232384198 150.415403098 2.218198764 150.415322288 2.218222774 150.411337071 2.205080433 150.394522795 2.210076187 150.394544139 2.210147169 150.39345395 2.210471071 150.393400755 2.210293258 150.376278897 2.215238148 150.376303587 2.215321397 150.374703827 2.215783404 150.379778808 2.23289471 150.379938548 2.23284618 150.380317912 2.234125267 150.380124364 2.234184255 150.385353111 2.251336832,mast:JWST/product/jw01727-o165_t131_nircam_clear-f115w_i2d.jpg,mast:JWST/product/jw01727-o165_t131_nircam_clear-f115w_i2d.fits,PUBLIC,False,,213041354,1013.0000000000001,1282.0,0.0,1140578,150.426837946364,2.27168871315818,F115W,60407.62509155092
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F150W,INFRARED,CWEBTILE-2-16,,jw01727-o165_t131_nircam_clear-f150w,150.40783708333333,2.257811111111111,image,"Kartaltepe, Jeyhan",3,60407.64919967593,60407.666722835645,1030.728,INFRARED,1331.0,1668.0,COSMOS-Web: The JWST Cosmic Origins Survey,60407.95363413,1727,GO,,POLYGON 150.385416423 2.251319582 150.389418343 2.264447765 150.390012574 2.26425762 150.39463567 2.279241119 150.394659203 2.27923387 150.395046727 2.280489829 150.394978146 2.280511469 150.39659037 2.285492729 150.39870546 2.29234761 150.398799638 2.292318602 150.39920423 2.293568645 150.399047942 2.29361796 150.404538796 2.310582543 150.404583808 2.310569202 150.421442585 2.304992784 150.421437412 2.30497668 150.422512468 2.30462107 150.42255705 2.304761831 150.439247224 2.299429321 150.43923704 2.299396909 150.440818679 2.298891559 150.440714452 2.298540504 150.436710342 2.285797371 150.436758293 2.28578205 150.434544593 2.278736766 150.43026441 2.26430489 150.430100369 2.264352861 150.426198761 2.251197096 150.425600256 2.251372116 150.421943425 2.239634021 150.421959814 2.239628864 150.419827639 2.232784634 150.41540375 2.218197659 150.415321105 2.218222214 150.411338456 2.205089793 150.394524334 2.210085302 150.39454395 2.21015053 150.393453732 2.210474429 150.393402336 2.210302642 150.376280726 2.215247493 150.376303715 2.215325008 150.374699514 2.215788302 150.379774347 2.2328993 150.37994161 2.232848486 150.380320977 2.234127599 150.380120126 2.234188808 150.385348686 2.251341257,mast:JWST/product/jw01727-o165_t131_nircam_clear-f150w_i2d.jpg,mast:JWST/product/jw01727-o165_t131_nircam_clear-f150w_i2d.fits,PUBLIC,False,,213041352,1331.0,1668.0,0.0,1140578,150.426837946364,2.27168871315818,F150W,60407.64919967593
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F277W,INFRARED,CWEBTILE-2-16,Galaxy; Field galaxies,jw01727-o165_t131_nircam_clear-f277w,150.40783708333333,2.257811111111111,image,"Kartaltepe, Jeyhan",3,60407.62509155092,60407.64273841435,1030.728,INFRARED,2416.0,3127.0,COSMOS-Web: The JWST Cosmic Origins Survey,60407.95363413,1727,GO,,POLYGON 150.439011341 2.299392798 150.439002031 2.299362291 150.440591015 2.29885295 150.432498496 2.272333879 150.430235744 2.264943707 150.430180644 2.264959918 150.426174635 2.251832252 150.425593741 2.252003162 150.41530233 2.218641692 150.415280005 2.218648229 150.411233997 2.205532411 150.376784652 2.215619465 150.376806637 2.215692649 150.375205984 2.21616131 150.385637874 2.250885815 150.385755268 2.250848401 150.389704372 2.263993314 150.390233048 2.263824821 150.39395248 2.275693488 150.393914856 2.275704557 150.404776817 2.310363863 150.404944405 2.310312636,mast:JWST/product/jw01727-o165_t131_nircam_clear-f277w_i2d.jpg,mast:JWST/product/jw01727-o165_t131_nircam_clear-f277w_i2d.fits,PUBLIC,False,,213041353,2416.0,3127.0,0.0,1140578,150.426837946364,2.27168871315818,F277W,60407.62509155092
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F444W,INFRARED,CWEBTILE-2-16,Galaxy; Field galaxies,jw01727-o165_t131_nircam_clear-f444w,150.40783708333333,2.257811111111111,image,"Kartaltepe, Jeyhan",3,60407.64919967593,60407.666722835645,1030.728,INFRARED,3880.0,4986.0,COSMOS-Web: The JWST Cosmic Origins Survey,60407.95363413,1727,GO,,POLYGON 150.439006405 2.299391381 150.438997403 2.299361886 150.440586396 2.298852497 150.430455577 2.265657574 150.430236169 2.264941012 150.430173686 2.264959396 150.426167981 2.25183364 150.425592695 2.252002907 150.415300678 2.218638862 150.415277396 2.218645679 150.411232181 2.205531614 150.376782428 2.215618771 150.376803779 2.215689847 150.375203719 2.216158335 150.385635314 2.2508837 150.385753955 2.250845886 150.389702661 2.26399019 150.390225659 2.263823498 150.393945462 2.275692355 150.393908586 2.275703204 150.404768763 2.310353958 150.405609825 2.310096855,mast:JWST/product/jw01727-o165_t131_nircam_clear-f444w_i2d.jpg,mast:JWST/product/jw01727-o165_t131_nircam_clear-f444w_i2d.fits,PUBLIC,False,,213041355,3880.0,4986.0,0.0,1140578,150.426837946364,2.27168871315818,F444W,60407.64919967593
science,HST,HAP-SVM,ACS/WFC,HAP,F814W,OPTICAL,COSMOS18-11B,CLUSTER OF GALAXIES;BLANK SKY,hst_10092_b1_acs_wfc_f814w_j8xib1,150.4085833333,2.290588888889,image,"Scoville, Nicholas",3,53458.60036078,53458.63062772,2028.0,OPTICAL,708.0,959.0,,53823.89555546,10092,HAP,,POLYGON 150.37298900069476 2.266821070555177 150.38423297054135 2.3224879581988125 150.44362875560103 2.3138905050265572 150.43820714863259 2.288835078549875 150.43132619442213 2.259765765973425 150.40441637553482 2.262724274888526 150.37298900069476 2.266821070555177,mast:HST/product/hst_10092_b1_acs_wfc_f814w_j8xib1_drc.jpg,mast:HST/product/hst_10092_b1_acs_wfc_f814w_j8xib1_drc.fits,PUBLIC,False,,26367832,708.0,959.0,0.0,1140578,150.426837946364,2.27168871315818,F814W,53458.60036078
science,HST,HAP-SVM,ACS/WFC,HAP,detection,,COSMOS18-11B,CLUSTER OF GALAXIES;BLANK SKY,hst_10092_b1_acs_wfc_total_j8xib1,150.4085833333,2.290588888889,image,"Scoville, Nicholas",3,53458.60036078,53458.63062772,2028.0,,,,,53823.89555546,10092,HAP,,POLYGON 150.3730307006578 2.2667932938036115 150.3841912712731 2.322390735304713 150.44360095380128 2.3138349501813598 150.4376233008687 2.2864462020034195 150.43129839525656 2.259779655296368 150.40498626438742 2.2626687207742395 150.3730307006578 2.2667932938036115,mast:HST/product/hst_10092_b1_acs_wfc_total_j8xib1_drc.jpg,mast:HST/product/hst_10092_b1_acs_wfc_total_j8xib1_drc.fits,PUBLIC,False,,26367854,,,0.0,1140578,150.426837946364,2.27168871315818,,53458.60036078
science,HST,HAP-SVM,WFC3/IR,HAP,F160W,INFRARED,COSMOS-T27,UNIDENTIFIED;BLANK FIELD,hst_14114_27_wfc3_ir_f160w_icxe27,150.4486954167,2.270097222222,image,"van Dokkum, Pieter",3,57726.76754755,57726.82886644,2073.5005499999997,INFRARED,1393.8999999999999,1692.4,,57727.77342585,14114,HAP,,POLYGON 150.47416030953158 2.264935633870179 150.40973621736822 2.2273517810311336 150.40898752886386 2.2272805199495895 150.39237294270808 2.256563865565129 150.39772074883152 2.2601621203039026 150.38160472890382 2.288519129531613 150.4133716842493 2.307294254965141 150.39754068328423 2.3352239592929984 150.4079517181488 2.3417079208337777 150.39212022818293 2.3696019200521596 150.42445964165444 2.388519314326663 150.42649203914817 2.386168076922611 150.45498136415011 2.40248410511914 150.47248776724302 2.3735918715211297 150.4642512130275 2.368390846144913 150.4791900069805 2.3437379344372036 150.45708379009744 2.330628514358361 150.47405447778965 2.3024843632006653 150.45747529106615 2.2924741377773485 150.47416030953158 2.264935633870179,mast:HST/product/hst_14114_27_wfc3_ir_f160w_icxe27_drz.jpg,mast:HST/product/hst_14114_27_wfc3_ir_f160w_icxe27_drz.fits,PUBLIC,False,,232958987,1393.8999999999999,1692.4,0.0,1140578,150.426837946364,2.27168871315818,F160W,57726.76754755
science,HST,HAP-SVM,WFC3/IR,HAP,detection,,COSMOS-T27,UNIDENTIFIED;BLANK FIELD,hst_14114_27_wfc3_ir_total_icxe27,150.4486954167,2.270097222222,image,"van Dokkum, Pieter",3,57726.76754755,57726.82886644,2073.5005499999997,,,,,57727.77342585,14114,HAP,,POLYGON 150.47408900710286 2.2650425108475156 150.410021429764 2.227529909779484 150.40905883037283 2.2274230206839833 150.4085240410351 2.2280998857648266 150.39237294270808 2.256563865565129 150.39772074883152 2.2601621203039026 150.38160472890382 2.288519129531613 150.4133716842493 2.307294254965141 150.39754068328423 2.3352239592929984 150.4079517181488 2.3417079208337777 150.39212022818293 2.3696019200521596 150.4243883301166 2.3884480640711607 150.42649203914817 2.386168076922611 150.4550526749668 2.402377229146399 150.47241645818755 2.373663123538222 150.4642512130275 2.368390846144913 150.47911870097434 2.3438448117966857 150.45708379009744 2.330628514358361 150.47398317346267 2.302591240287025 150.4574396388438 2.2925453884022162 150.47408900710286 2.2650425108475156,mast:HST/product/hst_14114_27_wfc3_ir_total_icxe27_drz.jpg,mast:HST/product/hst_14114_27_wfc3_ir_total_icxe27_drz.fits,PUBLIC,False,,232958988,,,0.0,1140578,150.426837946364,2.27168871315818,,57726.76754755
