obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
266148091,JWST,image,jw05893012004_03101_00001_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893012004_03101_00001_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893012004_03101_00001_nrcb2_cal.fits,117573120,266380994,PUBLIC,2,F115W
266148151,JWST,image,jw05893012004_05101_00002_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893012004_05101_00002_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893012004_05101_00002_nrcb2_cal.fits,117573120,266380994,PUBLIC,2,F115W
266148410,JWST,image,jw05893012004_03101_00001_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893012004_03101_00001_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893012004_03101_00001_nrcb1_cal.fits,117573120,266380994,PUBLIC,2,F115W
266148578,JWST,image,jw05893012004_03101_00001_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893012004_03101_00001_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893012004_03101_00001_nrca2_cal.fits,117570240,266380994,PUBLIC,2,F115W
266148631,JWST,image,jw05893012004_05101_00001_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893012004_05101_00001_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893012004_05101_00001_nrcb3_cal.fits,117573120,266380994,PUBLIC,2,F115W
266148672,JWST,image,jw05893012004_03101_00001_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893012004_03101_00001_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893012004_03101_00001_nrcb4_cal.fits,117573120,266380994,PUBLIC,2,F115W
266148930,JWST,image,jw05893012004_05101_00001_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893012004_05101_00001_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893012004_05101_00001_nrcb2_cal.fits,117573120,266380994,PUBLIC,2,F115W
266149035,JWST,image,jw05893012004_03101_00001_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893012004_03101_00001_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893012004_03101_00001_nrcb3_cal.fits,117573120,266380994,PUBLIC,2,F115W
266149598,JWST,image,jw05893012004_05101_00001_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893012004_05101_00001_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893012004_05101_00001_nrca4_cal.fits,117573120,266380994,PUBLIC,2,F115W
266149900,JWST,image,jw05893012004_05101_00001_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893012004_05101_00001_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893012004_05101_00001_nrca2_cal.fits,117570240,266380994,PUBLIC,2,F115W
