candidate_id,ra_deg,dec_deg,pm_status,classification,reason,n_independent_pairs,evidence_grade,pair_id,filter_early,filter_late,mu_alpha_cosdec_masyr,mu_delta_masyr,sigma_mu_alpha_cosdec_masyr,sigma_mu_delta_masyr,significance_2d,n_measured_pairs,n_distinct_epochs_cached
437,150.296298852626,1.73675491898305,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NO_INDEPENDENT_JWST_EPOCH_PAIR,0,,,,,,,,,,,
9095,150.241679977579,1.76562803699525,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NO_INDEPENDENT_JWST_EPOCH_PAIR,0,,,,,,,,,,,
30382,150.302209938254,1.79379716755534,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NO_INDEPENDENT_JWST_EPOCH_PAIR,0,,,,,,,,,,,
54666,150.071191225422,1.81710097381923,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NO_INDEPENDENT_JWST_EPOCH_PAIR,0,,,,,,,,,,,
57038,150.169836305335,1.8190607883099,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NO_INDEPENDENT_JWST_EPOCH_PAIR,0,,,,,,,,,,,
204643,150.355552737912,1.90439835778517,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NO_INDEPENDENT_JWST_EPOCH_PAIR,0,,,,,,,,,,,
244413,149.793378580784,1.92125026001359,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NO_INDEPENDENT_JWST_EPOCH_PAIR,0,,,,,,,,,,,
309311,149.720792661442,1.94558312708565,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NO_INDEPENDENT_JWST_EPOCH_PAIR,0,,,,,,,,,,,
312972,149.860786976369,1.94688644928282,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,20,,,,,,,,,,0.0,9.0
379073,149.954241334037,1.96929219077324,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
423357,149.920227768166,1.98411953184297,PM_MEASURED,AMBIGUOUS_SYSTEMATICS,,32,B_CROSS_FILTER_JWST,F444W_epoch_000__F410M_epoch_000,F444W,F410M,13.9038454671212,-21.34291764893794,2.641169899802935,3.103344496711429,8.660896012583068,2.0,12.0
510752,150.376571038048,2.01089064167284,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NO_INDEPENDENT_JWST_EPOCH_PAIR,0,,,,,,,,,,,
525095,150.23476143669,2.0156191979999,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
609290,150.274687824178,2.04255014047679,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALL_INDEPENDENT_JWST_PAIRS_EXHAUSTED,12,,,,,,,,,,0.0,7.0
