intentType,obs_collection,provenance_name,instrument_name,project,filters,wave_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,wavelength_region,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,wave_min,wave_max,distance,candidate_id,candidate_ra_deg,candidate_dec_deg,filter_norm,t_min_numeric
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F115W,INFRARED,CWEBTILE-6-2,,jw01727-o119_t023_nircam_clear-f115w,149.79768374999998,2.0693805555555556,image,"Kartaltepe, Jeyhan",3,60041.150372951386,60041.16789537037,1030.728,INFRARED,1013.0000000000001,1282.0,COSMOS-Web: The JWST Cosmic Origins Survey,60041.34651627,1727,GO,,POLYGON 149.77523842 2.062916128 149.779240921 2.07604983 149.779843345 2.075857051 149.784463616 2.090834686 149.784479179 2.090829893 149.784866718 2.09208618 149.784805489 2.092105497 149.786243006 2.096547691 149.788526237 2.103949174 149.788628038 2.10391782 149.789032635 2.10516808 149.788868114 2.105219983 149.794357486 2.122182829 149.79443893 2.122158691 149.811259588 2.116595574 149.811254634 2.116580146 149.812330106 2.116224439 149.812374477 2.116364566 149.829062013 2.111033085 149.829052033 2.111001316 149.830640744 2.11049372 149.830616328 2.110411457 149.826528278 2.09739798 149.826565029 2.097386238 149.824582013 2.091073554 149.820085296 2.075908406 149.819910124 2.075959623 149.81600858 2.062801275 149.81542189 2.06297281 149.811765798 2.051234327 149.811771055 2.051232673 149.810084282 2.045816887 149.805228818 2.029800297 149.805134362 2.02982836 149.801152496 2.016693078 149.784339996 2.021687994 149.784358521 2.021749617 149.783268476 2.022073457 149.783218096 2.021905005 149.766098063 2.026849059 149.766119942 2.026922851 149.764532147 2.027381375 149.769605681 2.044492941 149.769765307 2.044444448 149.770144557 2.04572354 149.769951127 2.045782489 149.775178396 2.062935336,mast:JWST/product/jw01727-o119_t023_nircam_clear-f115w_i2d.jpg,mast:JWST/product/jw01727-o119_t023_nircam_clear-f115w_i2d.fits,PUBLIC,False,,126580631,1013.0000000000001,1282.0,0.0,210975,149.819087823901,2.0735606215358,F115W,60041.150372951386
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F150W,INFRARED,CWEBTILE-6-2,,jw01727-o119_t023_nircam_clear-f150w,149.79768374999998,2.0693805555555556,image,"Kartaltepe, Jeyhan",3,60041.17435663194,60041.19200349537,1030.728,INFRARED,1331.0,1668.0,COSMOS-Web: The JWST Cosmic Origins Survey,60041.34651627,1727,GO,,POLYGON 149.775242864 2.062924996 149.779242376 2.076049117 149.779838306 2.075858435 149.784461374 2.090846413 149.784483187 2.090839695 149.784870602 2.092095669 149.784803738 2.092116766 149.786375732 2.09697518 149.78852701 2.1039494 149.78862279 2.1039199 149.789027259 2.105169937 149.788869383 2.105219751 149.794358156 2.12218282 149.794460817 2.122152395 149.811260662 2.116595663 149.8112557 2.116580209 149.812330622 2.116224663 149.812374983 2.11636477 149.829063319 2.111033079 149.829053368 2.1110014 149.830636387 2.110495641 149.830523777 2.110116224 149.826528896 2.097398382 149.826567188 2.097386148 149.824543822 2.090944652 149.820085804 2.075908231 149.819911927 2.075959074 149.816010743 2.062800638 149.815422175 2.062972741 149.811766381 2.051234261 149.811772912 2.051232206 149.810050829 2.045702698 149.805229499 2.029800187 149.805136853 2.029827711 149.801154589 2.016692586 149.784342244 2.021687266 149.784363696 2.02175862 149.7832736 2.022082461 149.783220386 2.021904546 149.766100604 2.026848571 149.766125375 2.026932116 149.764530865 2.027392582 149.769604229 2.044503848 149.769769547 2.044453627 149.770148804 2.045732743 149.769949897 2.045793357 149.775176957 2.062946084,mast:JWST/product/jw01727-o119_t023_nircam_clear-f150w_i2d.jpg,mast:JWST/product/jw01727-o119_t023_nircam_clear-f150w_i2d.fits,PUBLIC,False,,126580628,1331.0,1668.0,0.0,210975,149.819087823901,2.0735606215358,F150W,60041.17435663194
science,JWST,CALJWST,MIRI/IMAGE,JWST,F770W,INFRARED,CWEBTILE-7-2,Galaxy; Field galaxies,jw01727-o120_t024_miri_f770w,149.7647095833333,1.9787916666666667,image,"Kartaltepe, Jeyhan",3,60043.66188709491,60043.70354539352,2020.232,INFRARED,6600.0,8800.0,COSMOS-Web: The JWST Cosmic Origins Survey,60043.82886561,1727,GO,,POLYGON 149.813097159 2.081466553 149.81210715 2.08186056 149.823829921 2.111320138 149.825373054 2.110689836 149.825406245 2.110769712 149.827242296 2.110031817 149.854430627 2.098924823 149.849354392 2.086230527 149.850360888 2.085819219 149.839211687 2.057933806 149.838694693 2.056649137 149.837148657 2.057264044 149.837118606 2.057188966 149.808038836 2.068754413,mast:JWST/product/jw01727-o120_t024_miri_f770w_i2d.jpg,mast:JWST/product/jw01727-o120_t024_miri_f770w_i2d.fits,PUBLIC,False,,126650234,6600.0,8800.0,0.0,210975,149.819087823901,2.0735606215358,F770W,60043.66188709491
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F115W,INFRARED,CWEBTILE-6-3,,jw01727-o121_t031_nircam_clear-f115w,149.83183291666666,2.056955555555555,image,"Kartaltepe, Jeyhan",3,60043.715807395834,60043.73333055556,1030.728,INFRARED,1013.0000000000001,1282.0,COSMOS-Web: The JWST Cosmic Origins Survey,60044.41582168,1727,GO,,POLYGON 149.809383344 2.050495139 149.813386644 2.063631318 149.813978126 2.063442035 149.818597642 2.078417162 149.818624205 2.078408981 149.819011739 2.07966524 149.818939532 2.07968802 149.820635032 2.084927404 149.822672032 2.091530614 149.822762841 2.091502645 149.823167479 2.092753027 149.823013927 2.092801471 149.828502701 2.109762304 149.828646468 2.109719695 149.845405216 2.104176913 149.845398764 2.104156819 149.846474295 2.103801092 149.846520144 2.103945884 149.863207471 2.098614334 149.863196044 2.098577957 149.864789888 2.098068719 149.864771829 2.098007872 149.860678113 2.084976183 149.860718101 2.084963406 149.858671575 2.078448579 149.854234255 2.063483546 149.854062281 2.063533828 149.850161617 2.050378533 149.849571849 2.050550972 149.845915807 2.038812496 149.845924065 2.038809898 149.844114243 2.032999067 149.839377962 2.017375414 149.839286429 2.017402609 149.835305468 2.004270394 149.818493165 2.009265361 149.818511526 2.009326438 149.817421441 2.009650297 149.817371225 2.009482392 149.800251392 2.0144265 149.800273149 2.014499882 149.798666124 2.014963969 149.803739664 2.032075468 149.803910244 2.032023646 149.804289508 2.033302776 149.804085127 2.033365064 149.809312398 2.050517843,mast:JWST/product/jw01727-o121_t031_nircam_clear-f115w_i2d.jpg,mast:JWST/product/jw01727-o121_t031_nircam_clear-f115w_i2d.fits,PUBLIC,False,,126650233,1013.0000000000001,1282.0,0.0,210975,149.819087823901,2.0735606215358,F115W,60043.715807395834
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F150W,INFRARED,CWEBTILE-6-3,,jw01727-o121_t031_nircam_clear-f150w,149.83183291666666,2.056955555555555,image,"Kartaltepe, Jeyhan",3,60043.73979181713,60043.757314236114,1030.728,INFRARED,1331.0,1668.0,COSMOS-Web: The JWST Cosmic Origins Survey,60044.41582168,1727,GO,,POLYGON 149.809395879 2.050499471 149.813396904 2.063628547 149.813983549 2.063440833 149.818605109 2.078423835 149.818636212 2.078414255 149.819023623 2.079670214 149.81894749 2.079694236 149.820737231 2.085225593 149.822681532 2.091528807 149.822768105 2.091502142 149.823172612 2.09275229 149.82302392 2.092799207 149.828511876 2.109759749 149.828693882 2.109705807 149.845414981 2.104175034 149.845408146 2.104153749 149.846483131 2.103798174 149.846529342 2.103944123 149.863217484 2.09861241 149.863205697 2.098574886 149.86478778 2.098069416 149.86472112 2.097844817 149.86067894 2.084976487 149.860720288 2.084963276 149.858636163 2.078328388 149.854234713 2.063482876 149.854063979 2.063532801 149.850163803 2.050377857 149.849572143 2.050550868 149.845916333 2.038812417 149.845925944 2.038809393 149.844075355 2.032867299 149.839378327 2.017374896 149.83928881 2.017401491 149.835307578 2.004269864 149.818495432 2.009264598 149.818516127 2.009333435 149.817425994 2.009657294 149.817373534 2.009481898 149.800253953 2.01442598 149.800277995 2.014507068 149.798674526 2.014970131 149.803747903 2.032081326 149.803922639 2.032028243 149.804301908 2.0333074 149.804093588 2.033370884 149.809320658 2.05052354,mast:JWST/product/jw01727-o121_t031_nircam_clear-f150w_i2d.jpg,mast:JWST/product/jw01727-o121_t031_nircam_clear-f150w_i2d.fits,PUBLIC,False,,126650235,1331.0,1668.0,0.0,210975,149.819087823901,2.0735606215358,F150W,60043.73979181713
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F277W,INFRARED,CWEBTILE-6-3,Galaxy; Field galaxies,jw01727-o121_t031_nircam_clear-f277w,149.83183291666666,2.056955555555555,image,"Kartaltepe, Jeyhan",3,60043.71580813657,60043.73333055556,1030.728,INFRARED,2416.0,3127.0,COSMOS-Web: The JWST Cosmic Origins Survey,60044.41582168,1727,GO,,POLYGON 149.86298148 2.09857697 149.862970183 2.098539939 149.864559344 2.098030543 149.857286411 2.074190693 149.854204285 2.064121706 149.854148149 2.064138222 149.850145247 2.051016762 149.849567915 2.051186617 149.839277177 2.017818361 149.83925164 2.017825838 149.835208739 2.004716218 149.800763454 2.014801679 149.800783733 2.014869203 149.799184085 2.015337552 149.80961302 2.050062457 149.809733071 2.050024197 149.813682822 2.063175158 149.814208826 2.06300752 149.817927223 2.074876371 149.817892236 2.074886664 149.828751033 2.109546096 149.828940996 2.109488029,mast:JWST/product/jw01727-o121_t031_nircam_clear-f277w_i2d.jpg,mast:JWST/product/jw01727-o121_t031_nircam_clear-f277w_i2d.fits,PUBLIC,False,,126650239,2416.0,3127.0,0.0,210975,149.819087823901,2.0735606215358,F277W,60043.71580813657
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F444W,INFRARED,CWEBTILE-6-3,Galaxy; Field galaxies,jw01727-o121_t031_nircam_clear-f444w,149.83183291666666,2.056955555555555,image,"Kartaltepe, Jeyhan",3,60043.73979181713,60043.757314236114,1030.728,INFRARED,3880.0,4986.0,COSMOS-Web: The JWST Cosmic Origins Survey,60044.41582168,1727,GO,,POLYGON 149.862977164 2.098576203 149.862966069 2.098539837 149.864553517 2.098030965 149.85587644 2.069590484 149.85420202 2.064120318 149.854138461 2.064139019 149.85013404 2.051013521 149.849564366 2.05118113 149.839275234 2.017816118 149.839246284 2.017824595 149.835202338 2.004710801 149.800756651 2.014796389 149.800778788 2.014870104 149.799180172 2.01533815 149.809608782 2.050063923 149.809732942 2.050024351 149.813681708 2.063172716 149.814199131 2.063007805 149.817917868 2.074876783 149.817886572 2.07488599 149.828746866 2.109547268 149.828839197 2.109519045,mast:JWST/product/jw01727-o121_t031_nircam_clear-f444w_i2d.jpg,mast:JWST/product/jw01727-o121_t031_nircam_clear-f444w_i2d.fits,PUBLIC,False,,126650241,3880.0,4986.0,0.0,210975,149.819087823901,2.0735606215358,F444W,60043.73979181713
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F115W,INFRARED,C3D-01_CWEBTILE-6-3,,jw05893-o001_t001_nircam_clear-f115w,149.83183291666666,2.056955555555555,image,"Kakiichi, Koki",3,60791.68710052083,60792.506491643515,7472.784,INFRARED,1013.0000000000001,1282.0,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,60793.56015034,5893,GO,,POLYGON 149.747054074 2.052280431 149.746526879 2.052470998 149.74608477 2.051227906 149.746642668 2.051026798 149.740744572 2.034442677 149.740136597 2.034652401 149.73940159 2.032585699 149.722556545 2.038396371 149.728497257 2.055226548 149.728559161 2.055204234 149.729003386 2.056462715 149.728908226 2.056497112 149.735004598 2.073360674 149.735019034 2.073355228 149.737285821 2.079625413 149.737934109 2.079380846 149.739756559 2.084543646 149.739778352 2.08453579 149.740236359 2.08578933 149.740167542 2.085814205 149.746264139 2.102677729 149.746278567 2.102672286 149.748545421 2.108942388 149.748634975 2.108908603 149.754739859 2.124929739 149.755035776 2.124814815 149.757407205 2.131304869 149.757369027 2.131319092 149.758424353 2.13408855 149.75924399 2.136331686 149.759274834 2.136320434 149.759743071 2.137549206 149.759650461 2.137583709 149.76599995 2.154246058 149.766016678 2.154240156 149.78259388 2.147802009 149.781019284 2.143641424 149.78165545 2.143394351 149.775430999 2.126947073 149.774904933 2.127143072 149.774499832 2.126016105 149.775070954 2.125807748 149.769839822 2.111254858 149.772435276 2.118197617 149.772833225 2.118047706 149.774788075 2.12349453 149.774817388 2.123483952 149.775283425 2.12478246 149.775261107 2.124790592 149.775892673 2.126479992 149.77706955 2.129759083 149.777112711 2.129743508 149.777595806 2.131035751 149.777542589 2.131055143 149.783695848 2.147514312 149.800089296 2.141338605 149.800032518 2.141185666 149.815144728 2.135316173 149.813570125 2.13115572 149.814206093 2.13090871 149.807981435 2.114461528 149.807455583 2.114657458 149.807050469 2.113530501 149.807621376 2.11332221 149.802374751 2.098726816 149.804986131 2.105711811 149.805383739 2.105562018 149.807338606 2.111008644 149.807367889 2.110998077 149.80783394 2.112296576 149.807811655 2.112304697 149.808442225 2.11399136 149.809620179 2.117273328 149.809663385 2.117257736 149.810146498 2.118549969 149.810093232 2.11856938 149.816246681 2.13502846 149.832639908 2.128852516 149.832583061 2.128699398 149.847696351 2.122828903 149.846121561 2.118668307 149.846757754 2.118421185 149.840532636 2.101974195 149.840006562 2.102170228 149.839601417 2.101043282 149.840172544 2.100834889 149.834942583 2.086287155 149.837536579 2.093225275 149.837934658 2.093075294 149.839889573 2.098521547 149.839918808 2.098510996 149.840384895 2.09980948 149.84036266 2.099817584 149.840991808 2.101500293 149.842171291 2.104786228 149.842214553 2.104770614 149.842697703 2.106062831 149.84264438 2.106082264 149.848798286 2.122541156 149.865191191 2.116364708 149.865134085 2.116210906 149.880247806 2.110339866 149.878673389 2.106180461 149.879308035 2.105933924 149.87308266 2.089487047 149.872558114 2.089682524 149.872152955 2.088555598 149.872722551 2.08834775 149.867587488 2.074064711 149.870079715 2.080730139 149.870480642 2.080579072 149.872440049 2.086037593 149.872471364 2.086026291 149.872937469 2.087324758 149.872913153 2.08733362 149.873601318 2.089174093 149.874722446 2.092297296 149.874763559 2.092282457 149.875246729 2.09357467 149.875195555 2.093593321 149.881349724 2.110052099 149.897742383 2.103875341 149.896191856 2.09969954 149.896795969 2.099471906 149.896647449 2.099051654 149.89075226 2.083174789 149.890198046 2.083376791 149.889756367 2.08212585 149.890302614 2.081928685 149.884491199 2.065469146 149.883878488 2.065682824 149.883148548 2.063615403 149.883114412 2.063627308 149.879598322 2.054157499 149.879667448 2.054131799 149.877442168 2.048093611 149.873224823 2.036148543 149.873064209 2.036204556 149.867296466 2.020180005 149.866763899 2.020368333 149.862357677 2.008411818 149.861778622 2.00862004 149.861577848 2.008075225 149.861349088 2.007439645 149.861922647 2.007229859 149.856030544 1.990859348 149.855434609 1.991070087 149.854689643 1.989000271 149.838155123 1.994847236 149.844072773 2.011409052 149.844107284 2.01139643 149.844498852 2.012492317 149.844470057 2.012502671 149.849490642 2.026356823 149.849043539 2.02651109 149.848309427 2.02444737 149.848246086 2.024469225 149.844696981 2.014817751 149.844168766 2.015008733 149.843726586 2.013765676 149.844285499 2.013564153 149.838386373 1.99698044 149.837781085 1.997189289 149.837045497 1.995121375 149.82020125 2.000933256 149.820592913 2.002042628 149.805609509 2.007340537 149.811526712 2.023902527 149.811564964 2.023888538 149.811956514 2.024984457 149.811923967 2.024996159 149.816941662 2.038843513 149.816494949 2.038997635 149.815759804 2.036930918 149.815698774 2.036951974 149.812153106 2.027309065 149.81162593 2.027499652 149.81118378 2.026256583 149.811741656 2.026055454 149.805842963 2.009471572 149.805234957 2.009681338 149.804499865 2.007614642 149.787655318 2.013426023 149.788044562 2.014528641 149.773060534 2.019826396 149.77897745 2.036388495 149.779015714 2.036374502 149.779407248 2.037470438 149.77937469 2.037482143 149.784392325 2.051330083 149.783945765 2.051484136 149.783210627 2.049417241 149.783149383 2.049438369 149.779603778 2.039795097 149.779076614 2.039985666 149.778634484 2.038742581 149.779192348 2.03854147 149.773293952 2.021957475 149.772685937 2.022167229 149.771950868 2.020100482 149.755106084 2.025911525 149.755495353 2.027014275 149.740511269 2.032311638 149.746427866 2.04887387 149.746466072 2.048859899 149.746857586 2.04995584 149.746825084 2.049967524 149.751842379 2.063815366 149.751395959 2.063969362 149.750660945 2.061902721 149.75059955 2.0619239,mast:JWST/product/jw05893-o001_t001_nircam_clear-f115w_i2d.jpg,mast:JWST/product/jw05893-o001_t001_nircam_clear-f115w_i2d.fits,PUBLIC,False,,262822369,1013.0000000000001,1282.0,0.0,210975,149.819087823901,2.0735606215358,F115W,60791.68710052083
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F200W,INFRARED,C3D-01_CWEBTILE-6-3,,jw05893-o001_t001_nircam_clear-f200w,149.83183291666666,2.056955555555555,image,"Kakiichi, Koki",3,60791.65653017361,60792.48760277778,14945.568,INFRARED,1755.0,2226.0,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,60793.56015034,5893,GO,,POLYGON 149.741738534 2.035931783 149.741252167 2.034564227 149.740804306 2.034718704 149.740702191 2.034431578 149.723855387 2.040242299 149.724408063 2.041808101 149.72287842 2.042335688 149.723431105 2.043901514 149.721901483 2.044429091 149.72784233 2.061260137 149.728288929 2.061099168 149.728392629 2.061392968 149.729439934 2.061015496 149.729787027 2.061975822 149.728253721 2.062529922 149.734349032 2.079394115 149.734790886 2.079227463 149.734899151 2.079527011 149.735165652 2.079426499 149.739101691 2.090577241 149.739173169 2.090551478 149.739630958 2.091804429 149.739513097 2.091847021 149.745608629 2.108711178 149.745747874 2.10865866 149.751865053 2.124713079 149.752161049 2.124598117 149.756369224 2.136115123 149.756811759 2.135953677 149.756919199 2.136247716 149.757977065 2.135861783 149.758329772 2.136787428 149.756775749 2.137366463 149.763125272 2.154030029 149.763560356 2.153861047 149.763672552 2.154155486 149.763902584 2.154074328 149.780268864 2.147717702 149.779703334 2.14622344 149.780327857 2.145980873 149.780820123 2.147297655 149.781258781 2.147132415 149.781370113 2.14743022 149.797764491 2.141254414 149.797707828 2.141101787 149.812819446 2.135232158 149.812253856 2.133737794 149.812878588 2.133495131 149.813370875 2.134811908 149.813809303 2.134646744 149.813920681 2.13494466 149.830314837 2.128768614 149.83025797 2.128615444 149.845371432 2.122744454 149.844806286 2.121251405 149.845430771 2.121008813 149.845922652 2.122324389 149.846361304 2.122159124 149.846472647 2.122456919 149.862866459 2.116280311 149.862810007 2.116128272 149.877921369 2.110257915 149.877355502 2.108762984 149.877981304 2.108519866 149.878473638 2.109836592 149.878910944 2.109671824 149.879022571 2.109970372 149.895416206 2.103793637 149.894853866 2.102279146 149.896393413 2.101699055 149.895830618 2.100183376 149.897367379 2.099604331 149.897338757 2.099523341 149.891318276 2.083309345 149.890877328 2.083470051 149.890768804 2.083177776 149.889686147 2.083572357 149.889347158 2.082612241 149.890868258 2.082063166 149.885056851 2.065603464 149.884608999 2.065759672 149.884507393 2.065471889 149.884338265 2.065530879 149.880153231 2.054259604 149.880171747 2.05425272 149.879309618 2.051912482 149.873792057 2.036284533 149.873582345 2.036357679 149.867802187 2.0203003 149.86735682 2.020457783 149.867252765 2.020168713 149.867163376 2.020200321 149.862865769 2.008534019 149.862424025 2.008692838 149.86231575 2.008398912 149.861219445 2.008793065 149.860901919 2.007910956 149.862430573 2.007351762 149.856537896 1.990981298 149.856093119 1.991138573 149.855987875 1.990846192 149.839452993 1.996692891 149.840008792 1.998248284 149.839380988 1.99847027 149.838894118 1.997101573 149.838447027 1.997255823 149.838344099 1.99696647 149.821498084 2.002778375 149.821890581 2.003890146 149.806909471 2.009186909 149.807464024 2.010738943 149.806836923 2.010960659 149.806350485 2.009593067 149.805902676 2.00974755 149.80580056 2.009460457 149.788954253 2.015271884 149.789343886 2.016375635 149.774360502 2.021672819 149.774915026 2.02322486 149.774287891 2.023446571 149.773801475 2.022078965 149.773353676 2.022233433 149.773251569 2.021946347 149.756405021 2.027757428 149.756794655 2.028861243 149.741811137 2.034158074 149.742365624 2.035710104,mast:JWST/product/jw05893-o001_t001_nircam_clear-f200w_i2d.jpg,mast:JWST/product/jw05893-o001_t001_nircam_clear-f200w_i2d.fits,PUBLIC,False,,262821783,1755.0,2226.0,0.0,210975,149.819087823901,2.0735606215358,F200W,60791.65653017361
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F356W,INFRARED,C3D-01_CWEBTILE-6-3,,jw05893-o001_t001_nircam_clear-f356w,149.83183291666666,2.056955555555555,image,"Kakiichi, Koki",3,60791.68710052083,60792.506491643515,7472.784,INFRARED,3140.0,3980.0,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,60793.56015034,5893,GO,,POLYGON 149.740073696 2.084370683 149.742389331 2.090623365 149.742354967 2.09063541 149.743775711 2.094471669 149.746531577 2.102191633 149.746571159 2.102176756 149.748812859 2.108456291 149.748937568 2.108409417 149.754970202 2.124698053 149.755323016 2.124564769 149.766224873 2.153999722 149.767352575 2.153590992 149.7998548 2.141311909 149.799794926 2.141146446 149.832405414 2.128825823 149.832345469 2.128660172 149.864956699 2.116338023 149.864895459 2.116168809 149.897501671 2.103847752 149.895986882 2.099662367 149.896568082 2.099442739 149.887246617 2.073686853 149.884494797 2.066106592 149.883928544 2.066305137 149.873243686 2.036781024 149.87313768 2.036818193 149.867217558 2.020614708 149.866734313 2.020783438 149.855959391 1.991291719 149.855364947 1.991499277 149.854611729 1.989437631 149.820728957 2.001267883 149.821086877 2.002270394 149.788182026 2.013758008 149.788538461 2.014756447 149.755632795 2.026243523 149.755989255 2.027242087 149.723083252 2.03872838 149.735272035 2.072874577 149.735311625 2.072859697 149.737553258 2.079139316 149.738213836 2.078891028 149.740159214 2.084340707,mast:JWST/product/jw05893-o001_t001_nircam_clear-f356w_i2d.jpg,mast:JWST/product/jw05893-o001_t001_nircam_clear-f356w_i2d.fits,PUBLIC,False,,262822331,3140.0,3980.0,0.0,210975,149.819087823901,2.0735606215358,F356W,60791.68710052083
