obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
125854394,JWST,image,jw01727119001_04101_00002_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00002_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00002_nrca2_cal.fits,117570240,126580628,PUBLIC,2,F150W
125854399,JWST,image,jw01727119001_04101_00002_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00002_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00002_nrca1_cal.fits,117570240,126580628,PUBLIC,2,F150W
125854403,JWST,image,jw01727119001_04101_00001_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00001_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00001_nrca2_cal.fits,117570240,126580628,PUBLIC,2,F150W
125854406,JWST,image,jw01727119001_04101_00001_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00001_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00001_nrca1_cal.fits,117570240,126580628,PUBLIC,2,F150W
125854409,JWST,image,jw01727119001_04101_00003_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00003_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00003_nrcb4_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854411,JWST,image,jw01727119001_04101_00001_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00001_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00001_nrca4_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854412,JWST,image,jw01727119001_04101_00002_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00002_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00002_nrcb1_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854418,JWST,image,jw01727119001_04101_00003_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00003_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00003_nrca2_cal.fits,117570240,126580628,PUBLIC,2,F150W
125854420,JWST,image,jw01727119001_04101_00001_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00001_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00001_nrca3_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854422,JWST,image,jw01727119001_04101_00004_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00004_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00004_nrca2_cal.fits,117570240,126580628,PUBLIC,2,F150W
125854425,JWST,image,jw01727119001_04101_00004_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00004_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00004_nrcb3_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854436,JWST,image,jw01727119001_04101_00002_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00002_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00002_nrcb3_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854437,JWST,image,jw01727119001_04101_00003_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00003_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00003_nrcb2_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854438,JWST,image,jw01727119001_04101_00004_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00004_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00004_nrcb1_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854439,JWST,image,jw01727119001_04101_00003_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00003_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00003_nrca4_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854443,JWST,image,jw01727119001_04101_00002_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00002_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00002_nrcb2_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854444,JWST,image,jw01727119001_04101_00002_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00002_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00002_nrcb4_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854446,JWST,image,jw01727119001_04101_00002_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00002_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00002_nrca4_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854448,JWST,image,jw01727119001_04101_00004_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00004_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00004_nrcb4_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854449,JWST,image,jw01727119001_04101_00004_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00004_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00004_nrcb2_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854451,JWST,image,jw01727119001_04101_00004_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00004_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00004_nrca1_cal.fits,117570240,126580628,PUBLIC,2,F150W
125854458,JWST,image,jw01727119001_04101_00001_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00001_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00001_nrcb3_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854459,JWST,image,jw01727119001_04101_00003_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00003_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00003_nrcb1_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854462,JWST,image,jw01727119001_04101_00003_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00003_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00003_nrca3_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854465,JWST,image,jw01727119001_04101_00003_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00003_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00003_nrcb3_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854466,JWST,image,jw01727119001_04101_00004_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00004_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00004_nrca3_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854467,JWST,image,jw01727119001_04101_00003_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00003_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00003_nrca1_cal.fits,117570240,126580628,PUBLIC,2,F150W
125854471,JWST,image,jw01727119001_04101_00001_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00001_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00001_nrcb2_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854472,JWST,image,jw01727119001_04101_00001_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00001_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00001_nrcb4_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854477,JWST,image,jw01727119001_04101_00002_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00002_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00002_nrca3_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854479,JWST,image,jw01727119001_04101_00004_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00004_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00004_nrca4_cal.fits,117573120,126580628,PUBLIC,2,F150W
125854480,JWST,image,jw01727119001_04101_00001_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727119001_04101_00001_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727119001_04101_00001_nrcb1_cal.fits,117573120,126580628,PUBLIC,2,F150W
