candidate_id,epoch_label,filter,epoch_mjd_inventory,n_observation_rows,n_cal_products,n_covering_cal_exposures,n_secure_centroids_snr3,max_measurement_snr,secure_detection_epoch
210975,epoch_003,F115W,60041.150372951386,1,32,1,0,1.7201152981269032,False
210975,epoch_012,F277W,60041.150372951386,1,8,0,0,,False
210975,epoch_007,F150W,60041.17435663194,1,32,1,0,-1.7475703274862546,False
210975,epoch_017,F444W,60041.174357372685,1,8,0,0,,False
210975,epoch_004,F115W,60043.715807395834,1,32,2,0,0.4812332365162715,False
210975,epoch_013,F277W,60043.71580813657,1,8,1,0,-1.1067244642497331,False
210975,epoch_018,F444W,60043.73979181713,1,8,1,0,4.624983484436528,False
210975,epoch_008,F150W,60043.73979181713,1,32,2,0,-0.393823618486174,False
210975,epoch_009,F150W,60771.072057384255,2,48,1,0,1.4422857970346337,False
210975,epoch_002,F090W,60771.17811505787,1,16,1,0,2.675780762182949,False
210975,epoch_001,F070W,60771.20470836806,1,16,1,0,-0.7300554258965853,False
210975,epoch_016,F410M,60771.20470836806,1,4,1,0,-0.21430305596852894,False
210975,epoch_010,F200W,60791.65653017361,1,384,4,0,1.1752311018046082,False
210975,epoch_005,F115W,60791.68710052083,1,192,4,0,3.1078959336061076,False
210975,epoch_014,F356W,60791.68710052083,1,48,4,0,1.0728413278289037,False
210975,epoch_011,F200W,61185.350382795135,2,96,4,0,1.8893124785580897,False
210975,epoch_015,F356W,61185.3810153588,2,12,4,0,2.533721254137752,False
210975,epoch_006,F115W,61185.3810153588,2,48,4,0,1.1626882412675987,False
