epoch_id,filter,mjd,n_covering,n_astrometric
F115W_epoch_000,F115W,60043.16836644676,1,0
F277W_epoch_000,F277W,60043.1683671875,1,0
F150W_epoch_000,F150W,60043.19247457176,1,0
F444W_epoch_000,F444W,60043.1924753125,1,0
F115W_epoch_001,F115W,60049.21038670139,2,0
F277W_epoch_001,F277W,60049.21038670139,1,0
F444W_epoch_001,F444W,60049.234494826385,1,0
F150W_epoch_001,F150W,60049.234494826385,2,0
F200W_epoch_000,F200W,60804.16779245371,5,0
F115W_epoch_002,F115W,60804.19836278935,3,0
F356W_epoch_000,F356W,60804.19836278935,3,0
