pair_id,status,pair_type,filter_early,filter_late,baseline_days_inventory,pair_filter_cost
F115W_epoch_000__F115W_epoch_002,PAIR_FOUND,SAME_FILTER_JWST,F115W,F115W,761.0299963425932,5572.0
F115W_epoch_001__F115W_epoch_002,PAIR_FOUND,SAME_FILTER_JWST,F115W,F115W,754.987976087963,5572.0
F444W_epoch_000__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F356W,761.0058874768511,908.0
F444W_epoch_001__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F356W,754.9638679629643,908.0
F444W_epoch_000__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F200W,760.9753171412085,2487.0
F444W_epoch_001__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F200W,754.9332976273217,2487.0
F277W_epoch_000__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F356W,761.0299956018498,2550.0
F277W_epoch_001__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F356W,754.987976087963,2550.0
F444W_epoch_000__F115W_epoch_002,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F115W,761.0058874768511,3322.0
F444W_epoch_001__F115W_epoch_002,PAIR_FOUND,CROSS_FILTER_JWST,F444W,F115W,754.9638679629643,3322.0
F150W_epoch_000__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F356W,761.0058882175872,3811.0
F150W_epoch_001__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F356W,754.9638679629643,3811.0
F277W_epoch_000__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F200W,760.9994252662073,4129.0
F277W_epoch_001__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F200W,754.9574057523205,4129.0
F115W_epoch_000__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F115W,F356W,761.0299963425932,4158.0
F115W_epoch_001__F356W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F115W,F356W,754.987976087963,4158.0
F277W_epoch_000__F115W_epoch_002,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F115W,761.0299956018498,4964.0
F277W_epoch_001__F115W_epoch_002,PAIR_FOUND,CROSS_FILTER_JWST,F277W,F115W,754.987976087963,4964.0
F150W_epoch_000__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F200W,760.9753178819446,5390.0
F150W_epoch_001__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F200W,754.9332976273217,5390.0
F115W_epoch_000__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F115W,F200W,760.9994260069507,5737.0
F115W_epoch_001__F200W_epoch_000,PAIR_FOUND,CROSS_FILTER_JWST,F115W,F200W,754.9574057523205,5737.0
F150W_epoch_000__F115W_epoch_002,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F115W,761.0058882175872,6225.0
F150W_epoch_001__F115W_epoch_002,PAIR_FOUND,CROSS_FILTER_JWST,F150W,F115W,754.9638679629643,6225.0
