obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
126306948,JWST,image,jw01727087001_02101_00003_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727087001_02101_00003_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727087001_02101_00003_nrca3_cal.fits,117573120,126650144,PUBLIC,2,F115W
126306951,JWST,image,jw01727087001_02101_00002_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727087001_02101_00002_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727087001_02101_00002_nrcb1_cal.fits,117573120,126650144,PUBLIC,2,F115W
126306955,JWST,image,jw01727087001_02101_00003_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727087001_02101_00003_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727087001_02101_00003_nrca2_cal.fits,117570240,126650144,PUBLIC,2,F115W
126306972,JWST,image,jw01727087001_02101_00003_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727087001_02101_00003_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727087001_02101_00003_nrcb1_cal.fits,117573120,126650144,PUBLIC,2,F115W
126306998,JWST,image,jw01727087001_02101_00004_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727087001_02101_00004_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727087001_02101_00004_nrcb1_cal.fits,117573120,126650144,PUBLIC,2,F115W
126307007,JWST,image,jw01727087001_02101_00001_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727087001_02101_00001_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727087001_02101_00001_nrca2_cal.fits,117570240,126650144,PUBLIC,2,F115W
126307010,JWST,image,jw01727087001_02101_00002_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727087001_02101_00002_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727087001_02101_00002_nrca1_cal.fits,117573120,126650144,PUBLIC,2,F115W
126307017,JWST,image,jw01727087001_02101_00004_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727087001_02101_00004_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727087001_02101_00004_nrca4_cal.fits,117573120,126650144,PUBLIC,2,F115W
126307022,JWST,image,jw01727087001_02101_00003_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727087001_02101_00003_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727087001_02101_00003_nrcb4_cal.fits,117573120,126650144,PUBLIC,2,F115W
126307028,JWST,image,jw01727087001_02101_00004_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727087001_02101_00004_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727087001_02101_00004_nrcb4_cal.fits,117573120,126650144,PUBLIC,2,F115W
