obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
200458818,JWST,image,jw01727050001_04101_00003_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00003_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00003_nrcb4_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458821,JWST,image,jw01727050001_04101_00004_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00004_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00004_nrca1_cal.fits,117570240,200460181,PUBLIC,2,F150W
200458822,JWST,image,jw01727050001_04101_00004_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00004_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00004_nrca3_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458823,JWST,image,jw01727050001_04101_00004_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00004_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00004_nrcb3_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458824,JWST,image,jw01727050001_04101_00003_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00003_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00003_nrcb3_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458825,JWST,image,jw01727050001_04101_00004_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00004_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00004_nrca4_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458826,JWST,image,jw01727050001_04101_00004_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00004_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00004_nrcb4_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458829,JWST,image,jw01727050001_04101_00003_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00003_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00003_nrcb2_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458830,JWST,image,jw01727050001_04101_00004_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00004_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00004_nrca2_cal.fits,117570240,200460181,PUBLIC,2,F150W
200458831,JWST,image,jw01727050001_04101_00004_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00004_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00004_nrcb1_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458834,JWST,image,jw01727050001_04101_00004_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00004_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00004_nrcb2_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458872,JWST,image,jw01727050001_04101_00003_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00003_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00003_nrca1_cal.fits,117570240,200460181,PUBLIC,2,F150W
200458882,JWST,image,jw01727050001_04101_00001_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00001_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00001_nrcb3_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458884,JWST,image,jw01727050001_04101_00002_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00002_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00002_nrcb4_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458887,JWST,image,jw01727050001_04101_00003_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00003_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00003_nrca4_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458889,JWST,image,jw01727050001_04101_00002_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00002_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00002_nrca4_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458891,JWST,image,jw01727050001_04101_00002_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00002_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00002_nrca2_cal.fits,117570240,200460181,PUBLIC,2,F150W
200458895,JWST,image,jw01727050001_04101_00002_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00002_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00002_nrcb1_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458896,JWST,image,jw01727050001_04101_00003_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00003_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00003_nrcb1_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458897,JWST,image,jw01727050001_04101_00003_nrca2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00003_nrca2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00003_nrca2_cal.fits,117570240,200460181,PUBLIC,2,F150W
200458900,JWST,image,jw01727050001_04101_00001_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00001_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00001_nrca4_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458902,JWST,image,jw01727050001_04101_00002_nrcb3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00002_nrcb3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00002_nrcb3_cal.fits,117573120,200460181,PUBLIC,2,F150W
200458903,JWST,image,jw01727050001_04101_00001_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw01727050001_04101_00001_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.1,1727,jw01727050001_04101_00001_nrca3_cal.fits,117573120,200460181,PUBLIC,2,F150W
