obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
234359312,JWST,image,jw05893018003_02101_00003_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018003_02101_00003_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018003_02101_00003_nrca4_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359316,JWST,image,jw05893018002_02101_00005_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018002_02101_00005_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018002_02101_00005_nrca4_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359320,JWST,image,jw05893018002_02101_00006_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018002_02101_00006_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018002_02101_00006_nrcb1_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359321,JWST,image,jw05893018003_02101_00001_nrca4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018003_02101_00001_nrca4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018003_02101_00001_nrca4_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359324,JWST,image,jw05893018002_02101_00002_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018002_02101_00002_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018002_02101_00002_nrca3_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359325,JWST,image,jw05893018003_02101_00001_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018003_02101_00001_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018003_02101_00001_nrcb1_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359328,JWST,image,jw05893018002_02101_00001_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018002_02101_00001_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018002_02101_00001_nrcb2_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359330,JWST,image,jw05893018003_02101_00001_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018003_02101_00001_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018003_02101_00001_nrca3_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359331,JWST,image,jw05893018004_02101_00002_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018004_02101_00002_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018004_02101_00002_nrca3_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359333,JWST,image,jw05893018003_02101_00004_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018003_02101_00004_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018003_02101_00004_nrca3_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359335,JWST,image,jw05893018002_02101_00006_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018002_02101_00006_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018002_02101_00006_nrcb2_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359337,JWST,image,jw05893018004_02101_00002_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018004_02101_00002_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018004_02101_00002_nrcb2_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359339,JWST,image,jw05893018002_02101_00002_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018002_02101_00002_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018002_02101_00002_nrcb2_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359348,JWST,image,jw05893018003_02101_00002_nrca3,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018003_02101_00002_nrca3_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018003_02101_00002_nrca3_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359349,JWST,image,jw05893018002_02101_00004_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018002_02101_00004_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018002_02101_00004_nrcb1_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359350,JWST,image,jw05893018004_02101_00003_nrcb4,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018004_02101_00003_nrcb4_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018004_02101_00003_nrcb4_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359351,JWST,image,jw05893018003_02101_00004_nrcb1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018003_02101_00004_nrcb1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018003_02101_00004_nrcb1_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359355,JWST,image,jw05893018003_02101_00004_nrcb2,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018003_02101_00004_nrcb2_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018003_02101_00004_nrcb2_cal.fits,117573120,234456129,PUBLIC,2,F200W
234359358,JWST,image,jw05893018004_02101_00004_nrca1,exposure (L2b): 2D calibrated exposure average over integrations,S,mast:JWST/product/jw05893018004_02101_00004_nrca1_cal.fits,SCIENCE,,CAL,,CALJWST,2.0.0,5893,jw05893018004_02101_00004_nrca1_cal.fits,117570240,234456129,PUBLIC,2,F200W
