intentType,obs_collection,provenance_name,instrument_name,project,filters,wave_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,wavelength_region,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,wave_min,wave_max,distance,candidate_id,candidate_ra_deg,candidate_dec_deg,filter_norm,t_min_numeric
science,JWST,CALJWST,MIRI/IMAGE,JWST,F770W,INFRARED,CWEBTILE-5-17,Galaxy; Field galaxies,jw01727-o112_t142_miri_f770w,150.34295666666668,1.9736250000000002,image,"Kartaltepe, Jeyhan",3,60045.06835650463,60045.10995037037,2020.232,INFRARED,6600.0,8800.0,COSMOS-Web: The JWST Cosmic Origins Survey,60045.44245369,1727,GO,,POLYGON 150.391344064 2.076295536 150.390355533 2.076688634 150.390356163 2.076690218 150.390354427 2.076690908 150.402078059 2.106150096 150.40361989 2.105520269 150.403652599 2.105602465 150.405374164 2.104910569 150.432677614 2.093757452 150.427602037 2.08106275 150.428608763 2.080651324 150.417376939 2.052559733 150.416942882 2.051481166 150.415396795 2.052096107 150.415366661 2.052020738 150.386286959 2.063586758,mast:JWST/product/jw01727-o112_t142_miri_f770w_i2d.jpg,mast:JWST/product/jw01727-o112_t142_miri_f770w_i2d.fits,PUBLIC,False,,126650340,6600.0,8800.0,0.0,764864,150.41139160492307,2.090987534036701,F770W,60045.06835650463
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F115W,INFRARED,CWEBTILE-4-18,,jw01727-o113_t149_nircam_clear-f115w,150.41012583333335,2.0517916666666665,image,"Kartaltepe, Jeyhan",3,60045.12224199074,60045.13976440972,1030.728,INFRARED,1013.0000000000001,1282.0,COSMOS-Web: The JWST Cosmic Origins Survey,60047.95002304,1727,GO,,POLYGON 150.387722109 2.045313777 150.391724402 2.058447449 150.392318582 2.058257313 150.396938646 2.073235077 150.396962493 2.073227733 150.397350016 2.074484033 150.39728052 2.074505957 150.398912192 2.079548384 150.401009313 2.086346894 150.401102812 2.086318098 150.401507429 2.087568485 150.401351193 2.087617773 150.406839422 2.104577905 150.407008072 2.104527924 150.423742203 2.098993562 150.42373514 2.098971566 150.424810698 2.098615845 150.424857148 2.098762546 150.441544488 2.093431269 150.441532478 2.093393035 150.443112678 2.092888179 150.443004561 2.092523884 150.43900627 2.079795305 150.439059516 2.079778293 150.436753617 2.072437354 150.432562342 2.058301349 150.432403788 2.058347705 150.428503618 2.045193269 150.427900413 2.045369626 150.424244625 2.033631358 150.424266258 2.033624551 150.421906091 2.02604626 150.41770673 2.012193013 150.417628691 2.012216198 150.413648245 1.999084895 150.396835933 2.004079593 150.396855256 2.004143876 150.395765149 2.004467723 150.395713976 2.004296611 150.378594137 2.009240445 150.378616851 2.009317056 150.37700817 2.009781596 150.382081427 2.026893155 150.38224929 2.026842161 150.382628539 2.028121317 150.382426874 2.028182774 150.387653861 2.045335616,mast:JWST/product/jw01727-o113_t149_nircam_clear-f115w_i2d.jpg,mast:JWST/product/jw01727-o113_t149_nircam_clear-f115w_i2d.fits,PUBLIC,False,,126944353,1013.0000000000001,1282.0,0.0,764864,150.41139160492307,2.090987534036701,F115W,60045.12224199074
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F150W,INFRARED,CWEBTILE-4-18,,jw01727-o113_t149_nircam_clear-f150w,150.41012583333335,2.0517916666666665,image,"Kartaltepe, Jeyhan",3,60045.1462256713,60045.163748831015,1030.728,INFRARED,1331.0,1668.0,COSMOS-Web: The JWST Cosmic Origins Survey,60047.95002304,1727,GO,,POLYGON 150.387718573 2.045308468 150.391722176 2.058446802 150.392315564 2.05825694 150.396934064 2.073230822 150.396958373 2.073223335 150.397345781 2.074479363 150.397276431 2.074501244 150.398906425 2.079539149 150.401006325 2.086347213 150.401099845 2.08631841 150.401504322 2.087568532 150.401348697 2.087617634 150.406836075 2.104577376 150.407046151 2.104515118 150.423739479 2.09899381 150.423732604 2.098972399 150.424807607 2.098616835 150.424853856 2.098762911 150.441542013 2.093431472 150.44153017 2.093393769 150.443118921 2.092886192 150.443118128 2.092883521 150.439006603 2.079793701 150.43904557 2.079781252 150.437008088 2.073294479 150.432562915 2.058300629 150.432389789 2.058351251 150.428489665 2.045195684 150.427900379 2.045367992 150.424244735 2.033629422 150.424251996 2.033627137 150.422498681 2.027997056 150.417707263 2.012192428 150.417615394 2.01221972 150.413634208 1.99908746 150.396822053 2.004081926 150.39684017 2.004142189 150.395750032 2.004466035 150.395700139 2.004299214 150.378580552 2.009243025 150.378602042 2.00931551 150.377004449 2.009776853 150.382077562 2.026888103 150.382245687 2.026837031 150.382624941 2.028116217 150.382423233 2.028177683 150.387650039 2.045330396,mast:JWST/product/jw01727-o113_t149_nircam_clear-f150w_i2d.jpg,mast:JWST/product/jw01727-o113_t149_nircam_clear-f150w_i2d.fits,PUBLIC,False,,126944355,1331.0,1668.0,0.0,764864,150.41139160492307,2.090987534036701,F150W,60045.1462256713
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F277W,INFRARED,CWEBTILE-4-18,Galaxy; Field galaxies,jw01727-o113_t149_nircam_clear-f277w,150.41012583333335,2.0517916666666665,image,"Kartaltepe, Jeyhan",3,60045.12224199074,60045.13976440972,1030.728,INFRARED,2416.0,3127.0,COSMOS-Web: The JWST Cosmic Origins Survey,60047.95002304,1727,GO,,POLYGON 150.441310938 2.093392578 150.441300109 2.093357082 150.442886905 2.092848466 150.435342011 2.068115843 150.432533203 2.058939271 150.432482831 2.058954091 150.428481419 2.045836729 150.427897462 2.046008524 150.417605934 2.01263597 150.417587093 2.012641486 150.413545691 1.999535949 150.379100389 2.009620858 150.379119778 2.009685422 150.377514285 2.010155457 150.387942644 2.044880487 150.388064345 2.044841703 150.392013044 2.057989964 150.392537374 2.057822868 150.396255576 2.069691774 150.396222268 2.069701572 150.407077035 2.104350203 150.408078298 2.104044155,mast:JWST/product/jw01727-o113_t149_nircam_clear-f277w_i2d.jpg,mast:JWST/product/jw01727-o113_t149_nircam_clear-f277w_i2d.fits,PUBLIC,False,,126944357,2416.0,3127.0,0.0,764864,150.41139160492307,2.090987534036701,F277W,60045.12224199074
science,JWST,CALJWST,NIRCAM/IMAGE,JWST,F444W,INFRARED,CWEBTILE-4-18,Galaxy; Field galaxies,jw01727-o113_t149_nircam_clear-f444w,150.41012583333335,2.0517916666666665,image,"Kartaltepe, Jeyhan",3,60045.146226412035,60045.163748831015,1030.728,INFRARED,3880.0,4986.0,COSMOS-Web: The JWST Cosmic Origins Survey,60047.95002304,1727,GO,,POLYGON 150.441302822 2.093390631 150.441292857 2.093357969 150.442881154 2.092848849 150.433748253 2.062912609 150.432531593 2.058937673 150.432473654 2.058954719 150.428468902 2.045827359 150.427892206 2.045997025 150.417604157 2.012633659 150.417582257 2.012640071 150.413537971 1.999524406 150.37909227 2.009609448 150.379114125 2.009682228 150.377509814 2.010151918 150.387937888 2.044877805 150.38805989 2.044838923 150.39200813 2.057986343 150.392527724 2.057820748 150.396246307 2.069689862 150.396212803 2.069699718 150.40706787 2.104346378 150.408253311 2.103984035,mast:JWST/product/jw01727-o113_t149_nircam_clear-f444w_i2d.jpg,mast:JWST/product/jw01727-o113_t149_nircam_clear-f444w_i2d.fits,PUBLIC,False,,126944354,3880.0,4986.0,0.0,764864,150.41139160492307,2.090987534036701,F444W,60045.146226412035
calibration,JWST,CALJWST,NIRSPEC,JWST,OPAQUE,INFRARED,UNKNOWN,,jw04455091001_02201_00001_nrs1,150.4218681263931,2.0747034607432995,image,"Birkmann, Stephan",2,60414.119508634256,60414.130568506946,944.836,INFRARED,,,NIRSpec Dark Monitor Full Frame (CAL-NRS-201),60417.79461791,4455,CAL,,POLYGON 150.434218083 2.11420268 150.461864536 2.062868274 150.408974892 2.034624875 150.380683035 2.087031936,mast:JWST/product/jw04455091001_02201_00001_nrs1_dark.jpg,,PUBLIC,False,,213399406,,,0.0,764864,150.41139160492307,2.090987534036701,,60414.119508634256
science,HST,HAP-SVM,ACS/WFC,HAP,F606W,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,hst_13657_28_acs_wfc_f606w_jcor28,150.3779763807,2.082394957766,image,"Kartaltepe, Jeyhan",3,57314.94691394,57314.97725014,2146.0,OPTICAL,470.0,720.0,,57681.10695607,13657,HAP,,POLYGON 150.40212421905164 2.0486787662835204 150.4018184665357 2.0485537702588346 150.3737449451282 2.0546649915340223 150.38008233322844 2.077567784934825 150.38921349058043 2.1088316527528335 150.4170238645036 2.1035118223615283 150.40212421905164 2.0486787662835204 POLYGON 150.372994461616 2.0548733210557146 150.3457407005973 2.0607062769137237 150.35241125244096 2.083900852574119 150.36169479325682 2.113928768585672 150.3886575598626 2.1091094331612843 150.372994461616 2.0548733210557146,mast:HST/product/hst_13657_28_acs_wfc_f606w_jcor28_drc.jpg,mast:HST/product/hst_13657_28_acs_wfc_f606w_jcor28_drc.fits,PUBLIC,False,,26470313,470.0,720.0,0.0,764864,150.41139160492307,2.090987534036701,F606W,57314.94691394
science,HST,HAP-SVM,ACS/WFC,HAP,detection,,ANY,UNIDENTIFIED;PARALLEL FIELD,hst_13657_28_acs_wfc_total_jcor28,150.3779763807,2.082394957766,image,"Kartaltepe, Jeyhan",3,57314.94691394,57314.97725014,2146.0,,,,,57681.10695607,13657,HAP,,POLYGON 150.40192964867077 2.0485537688385356 150.3737449451282 2.0546649915340223 150.38008233322844 2.077567784934825 150.38921349058043 2.1088316527528335 150.4170238645036 2.1035118223615283 150.4021242197827 2.0487343218165353 150.40192964867077 2.0485537688385356 POLYGON 150.372994461616 2.0548733210557146 150.34569900635697 2.0607340537495937 150.35359252040007 2.0877897622537587 150.36170869160037 2.1139287687616752 150.3886575598626 2.1091094331612843 150.372994461616 2.0548733210557146,mast:HST/product/hst_13657_28_acs_wfc_total_jcor28_drc.jpg,mast:HST/product/hst_13657_28_acs_wfc_total_jcor28_drc.fits,PUBLIC,False,,26470328,,,0.0,764864,150.41139160492307,2.090987534036701,,57314.94691394
science,HST,HAP-SVM,WFC3/IR,HAP,F160W,INFRARED,COSMOS-T30,UNIDENTIFIED;BLANK FIELD,hst_14114_30_wfc3_ir_f160w_icxe30,150.4534154167,2.12185,image,"van Dokkum, Pieter",3,57749.93650607,57749.96885496,2073.5005499999997,INFRARED,1393.8999999999999,1692.4,,57750.08996534,14114,HAP,,POLYGON 150.4788862133165 2.116615844232263 150.41375548589966 2.078960718824087 150.39710692730137 2.1082797167398057 150.41300627975966 2.1180056462660213 150.39707031057426 2.1460421867518327 150.40477060485205 2.151065486133212 150.38879848484825 2.1791731925264988 150.40847749397338 2.1910011757852716 150.39261197208097 2.2192157817575087 150.45721341597454 2.2565868244596583 150.47493200611686 2.227552137825346 150.45421809653658 2.2152975524565774 150.47093806772796 2.1876522664505895 150.46191827567495 2.1820593261083325 150.4787803282788 2.1540933232545476 150.4622028238198 2.144225576780031 150.4788862133165 2.116615844232263,mast:HST/product/hst_14114_30_wfc3_ir_f160w_icxe30_drz.jpg,mast:HST/product/hst_14114_30_wfc3_ir_f160w_icxe30_drz.fits,PUBLIC,False,,232957670,1393.8999999999999,1692.4,0.0,764864,150.41139160492307,2.090987534036701,F160W,57749.93650607
science,HST,HAP-SVM,WFC3/IR,HAP,detection,,COSMOS-T30,UNIDENTIFIED;BLANK FIELD,hst_14114_30_wfc3_ir_total_icxe30,150.4534154167,2.12185,image,"van Dokkum, Pieter",3,57749.93650607,57749.96885496,2073.5005499999997,,,,,57750.08996534,14114,HAP,,POLYGON 150.41518141526294 2.079495111805929 150.4137554827788 2.0791744682944766 150.41332769377186 2.0797088359393388 150.39710692730137 2.1082797167398057 150.41300627975966 2.1180056462660213 150.39707031057426 2.1460421867518327 150.40477060485205 2.151065486133212 150.38879848484825 2.1791731925264988 150.40847749397338 2.1910011757852716 150.3926119771703 2.2190376569506682 150.4572134154718 2.256551199547475 150.47482505498863 2.227730265419646 150.45421809653658 2.2152975524565774 150.47083111893951 2.1878303938902195 150.46191827567495 2.1820593261083325 150.47870903096248 2.154200200223201 150.46216717510728 2.1442968273729033 150.478814915751 2.116651471168437 150.41518141526294 2.079495111805929,mast:HST/product/hst_14114_30_wfc3_ir_total_icxe30_drz.jpg,mast:HST/product/hst_14114_30_wfc3_ir_total_icxe30_drz.fits,PUBLIC,False,,232957671,,,0.0,764864,150.41139160492307,2.090987534036701,,57749.93650607
